filename,duration,totalBusyTime
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_1.txt,3075,28338
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_2.txt,2339,28117
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_3.txt,2744,29531
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_4.txt,2688,29199
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_5.txt,3265,29508
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_1.txt,5444,20346
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_2.txt,9897,20695
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_3.txt,12909,20848
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_4.txt,6330,19828
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_5.txt,7098,20034
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_1.txt,3466,17179
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_2.txt,2787,16496
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_3.txt,3367,17128
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_4.txt,7099,18240
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_5.txt,6839,18479
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_1.txt,18187,12638
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_2.txt,10555,11852
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_3.txt,13165,13337
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_4.txt,16186,12153
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_5.txt,9145,11603
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_1.txt,2304,28483
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_2.txt,5108,31085
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_3.txt,2235,29641
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_4.txt,2494,28575
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_5.txt,2230,29851
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_1.txt,5220,21209
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_2.txt,10622,20867
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_3.txt,3990,22061
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_4.txt,11759,20380
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_5.txt,8694,22211
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_1.txt,2800,17229
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_2.txt,2105,17204
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_3.txt,3670,18333
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_4.txt,3044,17857
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_5.txt,4076,17400
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_1.txt,7408,12941
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_2.txt,4949,12173
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_3.txt,8497,12885
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_4.txt,11945,12471
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_5.txt,4668,13029
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_1.txt,1924,13282
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_2.txt,2866,13364
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_3.txt,1716,13510
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_4.txt,1508,13448
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_5.txt,2086,13294
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_1.txt,6209,9815
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_2.txt,2839,9799
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_3.txt,5750,9641
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_4.txt,3292,10128
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_5.txt,2614,10012
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_1.txt,1983,7670
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_2.txt,2158,7759
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_3.txt,2278,7756
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_4.txt,1342,7780
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_5.txt,1875,7909
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_1.txt,4357,5868
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_2.txt,4601,5357
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_3.txt,6967,5813
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_4.txt,2725,5897
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_5.txt,2704,5528
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_1.txt,2192,14409
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_2.txt,2235,13961
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_3.txt,1727,14034
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_4.txt,1700,13197
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_5.txt,2128,13684
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_1.txt,2587,10364
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_2.txt,3941,9800
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_3.txt,2152,9935
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_4.txt,2017,10561
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_5.txt,4074,10669
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_1.txt,1923,8119
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_2.txt,1638,7622
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_3.txt,1986,8050
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_4.txt,1847,7831
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_5.txt,2397,8374
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_1.txt,3449,5408
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_2.txt,8128,5962
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_3.txt,2945,5895
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_4.txt,8315,5836
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_5.txt,3568,6241
.\TestInstances\c1\exp1_200_200_10_1.txt,920,1720
.\TestInstances\c1\exp1_200_200_10_2.txt,1434,1621
.\TestInstances\c1\exp1_200_200_10_3.txt,1756,1671
.\TestInstances\c1\exp1_200_200_10_4.txt,686,1678
.\TestInstances\c1\exp1_200_200_10_5.txt,1258,1660
.\TestInstances\c1\exp1_200_200_20_1.txt,1478,2973
.\TestInstances\c1\exp1_200_200_20_2.txt,1333,2754
.\TestInstances\c1\exp1_200_200_20_3.txt,3772,2440
.\TestInstances\c1\exp1_200_200_20_4.txt,1223,2588
.\TestInstances\c1\exp1_200_200_20_5.txt,1322,2632
.\TestInstances\c1\exp1_200_200_40_1.txt,1144,4750
