filename,duration,totalBusyTime
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_1.txt,637,29012
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_2.txt,442,31984
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_3.txt,443,29929
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_4.txt,424,29507
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_5.txt,432,29974
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_1.txt,473,20438
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_2.txt,448,20798
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_3.txt,455,20971
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_4.txt,462,19951
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_5.txt,451,20188
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_1.txt,441,17893
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_2.txt,430,17383
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_3.txt,430,17398
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_4.txt,422,18543
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_5.txt,440,18492
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_1.txt,389,12647
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_2.txt,408,11890
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_3.txt,399,13605
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_4.txt,426,12163
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_5.txt,398,11842
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_1.txt,461,30923
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_2.txt,441,31499
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_3.txt,452,30180
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_4.txt,450,29560
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_5.txt,449,31569
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_1.txt,446,21616
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_2.txt,445,20892
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_3.txt,455,22541
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_4.txt,446,20745
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_5.txt,445,22539
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_1.txt,415,17543
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_2.txt,449,18541
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_3.txt,454,18592
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_4.txt,442,18377
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_5.txt,428,18134
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_1.txt,460,13459
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_2.txt,445,12487
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_3.txt,456,13014
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_4.txt,444,12477
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_5.txt,437,13317
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_1.txt,338,13691
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_2.txt,385,13732
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_3.txt,349,13896
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_4.txt,367,14196
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_5.txt,346,14165
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_1.txt,364,9865
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_2.txt,371,10094
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_3.txt,390,9866
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_4.txt,416,10299
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_5.txt,397,10411
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_1.txt,344,8142
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_2.txt,333,8266
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_3.txt,321,7876
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_4.txt,366,8217
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_5.txt,340,8226
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_1.txt,344,6095
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_2.txt,343,5442
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_3.txt,336,5842
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_4.txt,389,5937
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_5.txt,397,5637
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_1.txt,378,15335
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_2.txt,383,14601
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_3.txt,388,14608
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_4.txt,404,14208
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_5.txt,387,14067
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_1.txt,377,10867
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_2.txt,347,9853
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_3.txt,376,10072
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_4.txt,344,10999
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_5.txt,354,10807
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_1.txt,313,8163
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_2.txt,313,8220
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_3.txt,325,8443
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_4.txt,311,7977
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_5.txt,306,8487
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_1.txt,354,5567
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_2.txt,358,6000
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_3.txt,350,6337
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_4.txt,354,6098
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_5.txt,355,6340
.\TestInstances\c1\exp1_200_200_10_1.txt,314,1723
.\TestInstances\c1\exp1_200_200_10_2.txt,304,1618
.\TestInstances\c1\exp1_200_200_10_3.txt,321,1677
.\TestInstances\c1\exp1_200_200_10_4.txt,314,1746
.\TestInstances\c1\exp1_200_200_10_5.txt,320,1712
.\TestInstances\c1\exp1_200_200_20_1.txt,268,2969
.\TestInstances\c1\exp1_200_200_20_2.txt,274,2789
.\TestInstances\c1\exp1_200_200_20_3.txt,270,2404
.\TestInstances\c1\exp1_200_200_20_4.txt,306,2582
.\TestInstances\c1\exp1_200_200_20_5.txt,271,2632
.\TestInstances\c1\exp1_200_200_40_1.txt,287,4788
.\TestInstances\c1\exp1_200_200_40_2.txt,287,4450
.\TestInstances\c1\exp1_200_200_40_3.txt,279,4789
.\TestInstances\c1\exp1_200_200_40_4.txt,331,5146
.\TestInstances\c1\exp1_200_200_40_5.txt,299,4703
.\TestInstances\c1\exp1_200_200_5_1.txt,289,1085
.\TestInstances\c1\exp1_200_200_5_2.txt,282,1016
.\TestInstances\c1\exp1_200_200_5_3.txt,282,1094
.\TestInstances\c1\exp1_200_200_5_4.txt,290,1134
.\TestInstances\c1\exp1_200_200_5_5.txt,305,1016
.\TestInstances\c1\exp1_200_200_80_1.txt,302,9775
.\TestInstances\c1\exp1_200_200_80_2.txt,301,9921
.\TestInstances\c1\exp1_200_200_80_3.txt,298,9651
.\TestInstances\c1\exp1_200_200_80_4.txt,299,8800
.\TestInstances\c1\exp1_200_200_80_5.txt,308,10261
.\TestInstances\c1\exp1_400_400_10_1.txt,346,3618
.\TestInstances\c1\exp1_400_400_10_2.txt,327,4084
.\TestInstances\c1\exp1_400_400_10_3.txt,328,3887
.\TestInstances\c1\exp1_400_400_10_4.txt,354,3738
