filename,duration,totalBusyTime
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_1.txt,581,28998
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_2.txt,431,31785
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_3.txt,441,29812
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_4.txt,414,29513
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_5.txt,404,29974
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_1.txt,403,20450
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_2.txt,378,20805
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_3.txt,385,20966
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_4.txt,380,19951
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_5.txt,380,20188
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_1.txt,357,17877
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_2.txt,345,17319
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_3.txt,358,17389
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_4.txt,366,18534
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_5.txt,366,18475
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_1.txt,361,12646
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_2.txt,359,11887
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_3.txt,399,13602
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_4.txt,343,12163
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_5.txt,321,11842
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_1.txt,385,30288
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_2.txt,390,31499
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_3.txt,392,30230
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_4.txt,380,29558
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_5.txt,386,31571
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_1.txt,388,21606
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_2.txt,382,20892
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_3.txt,395,22541
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_4.txt,382,20738
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_5.txt,373,22560
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_1.txt,347,17548
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_2.txt,347,18405
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_3.txt,363,18576
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_4.txt,349,18377
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_5.txt,344,18133
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_1.txt,331,13458
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_2.txt,346,12484
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_3.txt,338,13010
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_4.txt,339,12475
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_5.txt,333,13319
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_1.txt,260,13691
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_2.txt,247,13724
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_3.txt,253,13889
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_4.txt,247,14198
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_5.txt,249,14165
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_1.txt,244,9878
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_2.txt,238,10137
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_3.txt,239,9886
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_4.txt,254,10321
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_5.txt,254,10378
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_1.txt,227,8142
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_2.txt,223,8265
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_3.txt,222,7972
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_4.txt,226,8179
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_5.txt,220,8292
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_1.txt,215,6088
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_2.txt,211,5451
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_3.txt,210,5839
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_4.txt,214,5945
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_5.txt,216,5627
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_1.txt,244,15326
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_2.txt,249,14745
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_3.txt,238,14698
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_4.txt,241,14192
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_5.txt,238,14076
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_1.txt,245,10869
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_2.txt,242,9832
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_3.txt,281,10075
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_4.txt,232,10985
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_5.txt,238,10830
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_1.txt,219,8160
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_2.txt,210,8220
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_3.txt,209,8440
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_4.txt,209,7987
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_5.txt,216,8487
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_1.txt,214,5571
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_2.txt,205,6000
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_3.txt,208,6341
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_4.txt,208,6131
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_5.txt,201,6337
.\TestInstances\c1\exp1_200_200_10_1.txt,114,1672
.\TestInstances\c1\exp1_200_200_10_2.txt,107,1552
.\TestInstances\c1\exp1_200_200_10_3.txt,99,1675
.\TestInstances\c1\exp1_200_200_10_4.txt,110,1746
.\TestInstances\c1\exp1_200_200_10_5.txt,105,1702
.\TestInstances\c1\exp1_200_200_20_1.txt,125,2948
.\TestInstances\c1\exp1_200_200_20_2.txt,122,2745
.\TestInstances\c1\exp1_200_200_20_3.txt,125,2394
.\TestInstances\c1\exp1_200_200_20_4.txt,122,2573
.\TestInstances\c1\exp1_200_200_20_5.txt,125,2579
.\TestInstances\c1\exp1_200_200_40_1.txt,147,4754
.\TestInstances\c1\exp1_200_200_40_2.txt,145,4511
.\TestInstances\c1\exp1_200_200_40_3.txt,139,4785
.\TestInstances\c1\exp1_200_200_40_4.txt,150,5166
.\TestInstances\c1\exp1_200_200_40_5.txt,144,4744
.\TestInstances\c1\exp1_200_200_5_1.txt,75,1103
.\TestInstances\c1\exp1_200_200_5_2.txt,70,1043
.\TestInstances\c1\exp1_200_200_5_3.txt,75,1084
.\TestInstances\c1\exp1_200_200_5_4.txt,78,1130
.\TestInstances\c1\exp1_200_200_5_5.txt,80,1044
.\TestInstances\c1\exp1_200_200_80_1.txt,176,9711
.\TestInstances\c1\exp1_200_200_80_2.txt,178,10075
.\TestInstances\c1\exp1_200_200_80_3.txt,179,9499
.\TestInstances\c1\exp1_200_200_80_4.txt,165,8747
.\TestInstances\c1\exp1_200_200_80_5.txt,178,10404
.\TestInstances\c1\exp1_400_400_10_1.txt,171,3621
.\TestInstances\c1\exp1_400_400_10_2.txt,167,4147
.\TestInstances\c1\exp1_400_400_10_3.txt,165,3772
.\TestInstances\c1\exp1_400_400_10_4.txt,162,3674
.\TestInstances\c1\exp1_400_400_10_5.txt,169,3439
.\TestInstances\c1\exp1_400_400_20_1.txt,194,5968
.\TestInstances\c1\exp1_400_400_20_2.txt,185,5983
.\TestInstances\c1\exp1_400_400_20_3.txt,191,5682
.\TestInstances\c1\exp1_400_400_20_4.txt,192,6249
.\TestInstances\c1\exp1_400_400_20_5.txt,216,6492
.\TestInstances\c1\exp1_400_400_40_1.txt,234,10594
.\TestInstances\c1\exp1_400_400_40_2.txt,235,11890
.\TestInstances\c1\exp1_400_400_40_3.txt,218,10313
.\TestInstances\c1\exp1_400_400_40_4.txt,226,11384
.\TestInstances\c1\exp1_400_400_40_5.txt,231,11231
.\TestInstances\c1\exp1_400_400_5_1.txt,124,2257
.\TestInstances\c1\exp1_400_400_5_2.txt,123,2402
.\TestInstances\c1\exp1_400_400_5_3.txt,131,2599
.\TestInstances\c1\exp1_400_400_5_4.txt,123,2433
.\TestInstances\c1\exp1_400_400_5_5.txt,120,2332
.\TestInstances\c1\exp1_400_400_80_1.txt,285,19216
.\TestInstances\c1\exp1_400_400_80_2.txt,284,21557
.\TestInstances\c1\exp1_400_400_80_3.txt,272,18724
.\TestInstances\c1\exp1_400_400_80_4.txt,270,19419
.\TestInstances\c1\exp1_400_400_80_5.txt,267,19261
.\TestInstances\c1\exp1_600_600_10_1.txt,213,5932
.\TestInstances\c1\exp1_600_600_10_2.txt,213,5210
.\TestInstances\c1\exp1_600_600_10_3.txt,215,5693
.\TestInstances\c1\exp1_600_600_10_4.txt,224,6279
.\TestInstances\c1\exp1_600_600_10_5.txt,208,5549
.\TestInstances\c1\exp1_600_600_20_1.txt,257,9722
.\TestInstances\c1\exp1_600_600_20_2.txt,248,8863
.\TestInstances\c1\exp1_600_600_20_3.txt,250,9252
.\TestInstances\c1\exp1_600_600_20_4.txt,250,8895
.\TestInstances\c1\exp1_600_600_20_5.txt,232,9167
.\TestInstances\c1\exp1_600_600_40_1.txt,295,16611
.\TestInstances\c1\exp1_600_600_40_2.txt,291,16926
.\TestInstances\c1\exp1_600_600_40_3.txt,294,16443
.\TestInstances\c1\exp1_600_600_40_4.txt,281,15994
.\TestInstances\c1\exp1_600_600_40_5.txt,295,15365
.\TestInstances\c1\exp1_600_600_5_1.txt,176,3926
.\TestInstances\c1\exp1_600_600_5_2.txt,154,3469
.\TestInstances\c1\exp1_600_600_5_3.txt,181,3818
.\TestInstances\c1\exp1_600_600_5_4.txt,161,3696
.\TestInstances\c1\exp1_600_600_5_5.txt,158,3849
.\TestInstances\c1\exp1_600_600_80_1.txt,373,30366
.\TestInstances\c1\exp1_600_600_80_2.txt,345,28969
.\TestInstances\c1\exp1_600_600_80_3.txt,355,29429
.\TestInstances\c1\exp1_600_600_80_4.txt,351,28101
.\TestInstances\c1\exp1_600_600_80_5.txt,356,31164
.\TestInstances\c2\exp2_1200_1200_10_1.txt,388,11790
.\TestInstances\c2\exp2_1200_1200_10_2.txt,364,11958
.\TestInstances\c2\exp2_1200_1200_10_3.txt,349,11324
.\TestInstances\c2\exp2_1200_1200_10_4.txt,348,12882
.\TestInstances\c2\exp2_1200_1200_10_5.txt,350,12831
.\TestInstances\c2\exp2_1200_1200_20_1.txt,391,19830
.\TestInstances\c2\exp2_1200_1200_20_2.txt,397,19012
.\TestInstances\c2\exp2_1200_1200_20_3.txt,413,19832
.\TestInstances\c2\exp2_1200_1200_20_4.txt,388,20263
.\TestInstances\c2\exp2_1200_1200_20_5.txt,393,18860
.\TestInstances\c2\exp2_1200_1200_5_1.txt,292,7634
.\TestInstances\c2\exp2_1200_1200_5_2.txt,282,7471
.\TestInstances\c2\exp2_1200_1200_5_3.txt,273,7923
.\TestInstances\c2\exp2_1200_1200_5_4.txt,291,8134
.\TestInstances\c2\exp2_1200_1200_5_5.txt,309,7988
.\TestInstances\c2\exp2_1600_1600_10_1.txt,456,17312
.\TestInstances\c2\exp2_1600_1600_10_2.txt,450,17080
.\TestInstances\c2\exp2_1600_1600_10_3.txt,472,16721
.\TestInstances\c2\exp2_1600_1600_10_4.txt,458,16127
.\TestInstances\c2\exp2_1600_1600_10_5.txt,441,19567
.\TestInstances\c2\exp2_1600_1600_20_1.txt,492,24529
.\TestInstances\c2\exp2_1600_1600_20_2.txt,489,25269
.\TestInstances\c2\exp2_1600_1600_20_3.txt,482,29947
.\TestInstances\c2\exp2_1600_1600_20_4.txt,485,27454
.\TestInstances\c2\exp2_1600_1600_20_5.txt,500,26224
.\TestInstances\c2\exp2_1600_1600_5_1.txt,349,10524
.\TestInstances\c2\exp2_1600_1600_5_2.txt,384,11794
.\TestInstances\c2\exp2_1600_1600_5_3.txt,396,11445
