filename,duration,totalBusyTime
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_1.txt,611,28710
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_2.txt,489,31027
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_3.txt,472,29907
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_4.txt,499,29473
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_5.txt,467,29753
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_1.txt,459,20443
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_2.txt,439,20809
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_3.txt,449,20971
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_4.txt,428,19951
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_5.txt,429,20188
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_1.txt,384,17914
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_2.txt,382,17172
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_3.txt,384,17306
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_4.txt,397,17918
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_5.txt,412,18375
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_1.txt,379,12632
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_2.txt,397,11881
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_3.txt,373,13570
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_4.txt,345,12163
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_5.txt,342,11838
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_1.txt,439,30075
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_2.txt,441,31462
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_3.txt,456,30128
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_4.txt,431,29433
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_5.txt,437,31419
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_1.txt,405,21653
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_2.txt,401,20884
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_3.txt,412,22541
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_4.txt,424,20762
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_5.txt,410,22560
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_1.txt,409,17379
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_2.txt,398,18400
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_3.txt,414,18290
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_4.txt,365,18065
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_5.txt,384,17417
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_1.txt,360,13459
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_2.txt,367,12489
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_3.txt,353,13016
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_4.txt,347,12445
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_5.txt,356,13230
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_1.txt,317,13563
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_2.txt,299,13676
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_3.txt,309,13868
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_4.txt,305,14088
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_5.txt,308,13737
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_1.txt,281,9876
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_2.txt,269,10113
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_3.txt,280,9896
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_4.txt,276,10351
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_5.txt,287,10358
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_1.txt,256,8043
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_2.txt,247,8041
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_3.txt,256,7888
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_4.txt,272,8175
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_5.txt,260,8119
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_1.txt,233,6089
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_2.txt,235,5453
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_3.txt,238,5831
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_4.txt,234,5961
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_5.txt,244,5612
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_1.txt,289,15006
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_2.txt,293,14508
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_3.txt,293,14559
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_4.txt,293,13759
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_5.txt,295,13981
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_1.txt,268,10875
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_2.txt,261,9845
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_3.txt,269,10075
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_4.txt,259,10997
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_5.txt,268,10822
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_1.txt,246,8116
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_2.txt,260,8024
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_3.txt,244,8363
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_4.txt,238,7888
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_5.txt,241,8395
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_1.txt,238,5581
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_2.txt,216,6000
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_3.txt,226,6308
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_4.txt,222,6139
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_5.txt,235,6340
.\TestInstances\c1\exp1_200_200_10_1.txt,39,268
.\TestInstances\c1\exp1_200_200_10_2.txt,43,264
.\TestInstances\c1\exp1_200_200_10_3.txt,43,275
.\TestInstances\c1\exp1_200_200_10_4.txt,40,282
.\TestInstances\c1\exp1_200_200_10_5.txt,46,426
.\TestInstances\c1\exp1_200_200_20_1.txt,58,459
.\TestInstances\c1\exp1_200_200_20_2.txt,68,479
.\TestInstances\c1\exp1_200_200_20_3.txt,53,390
.\TestInstances\c1\exp1_200_200_20_4.txt,54,358
.\TestInstances\c1\exp1_200_200_20_5.txt,61,523
.\TestInstances\c1\exp1_200_200_40_1.txt,98,851
.\TestInstances\c1\exp1_200_200_40_2.txt,55,591
.\TestInstances\c1\exp1_200_200_40_3.txt,92,810
.\TestInstances\c1\exp1_200_200_40_4.txt,61,571
.\TestInstances\c1\exp1_200_200_40_5.txt,71,635
.\TestInstances\c1\exp1_200_200_5_1.txt,45,429
.\TestInstances\c1\exp1_200_200_5_2.txt,33,214
.\TestInstances\c1\exp1_200_200_5_3.txt,36,231
.\TestInstances\c1\exp1_200_200_5_4.txt,41,245
.\TestInstances\c1\exp1_200_200_5_5.txt,40,217
.\TestInstances\c1\exp1_200_200_80_1.txt,123,1799
.\TestInstances\c1\exp1_200_200_80_2.txt,118,1713
.\TestInstances\c1\exp1_200_200_80_3.txt,117,1443
.\TestInstances\c1\exp1_200_200_80_4.txt,127,1465
.\TestInstances\c1\exp1_200_200_80_5.txt,131,1943
.\TestInstances\c1\exp1_400_400_10_1.txt,64,502
.\TestInstances\c1\exp1_400_400_10_2.txt,51,424
.\TestInstances\c1\exp1_400_400_10_3.txt,79,473
.\TestInstances\c1\exp1_400_400_10_4.txt,55,499
.\TestInstances\c1\exp1_400_400_10_5.txt,57,460
.\TestInstances\c1\exp1_400_400_20_1.txt,88,756
.\TestInstances\c1\exp1_400_400_20_2.txt,80,885
.\TestInstances\c1\exp1_400_400_20_3.txt,76,573
.\TestInstances\c1\exp1_400_400_20_4.txt,94,730
.\TestInstances\c1\exp1_400_400_20_5.txt,103,1008
.\TestInstances\c1\exp1_400_400_40_1.txt,132,1420
.\TestInstances\c1\exp1_400_400_40_2.txt,116,1160
.\TestInstances\c1\exp1_400_400_40_3.txt,135,1615
.\TestInstances\c1\exp1_400_400_40_4.txt,117,1174
.\TestInstances\c1\exp1_400_400_40_5.txt,141,1651
.\TestInstances\c1\exp1_400_400_5_1.txt,60,584
.\TestInstances\c1\exp1_400_400_5_2.txt,62,414
.\TestInstances\c1\exp1_400_400_5_3.txt,51,411
.\TestInstances\c1\exp1_400_400_5_4.txt,54,416
.\TestInstances\c1\exp1_400_400_5_5.txt,55,404
.\TestInstances\c1\exp1_400_400_80_1.txt,185,2320
.\TestInstances\c1\exp1_400_400_80_2.txt,189,2568
.\TestInstances\c1\exp1_400_400_80_3.txt,188,2269
.\TestInstances\c1\exp1_400_400_80_4.txt,154,2135
.\TestInstances\c1\exp1_400_400_80_5.txt,163,1727
.\TestInstances\c1\exp1_600_600_10_1.txt,69,627
.\TestInstances\c1\exp1_600_600_10_2.txt,68,632
.\TestInstances\c1\exp1_600_600_10_3.txt,87,666
.\TestInstances\c1\exp1_600_600_10_4.txt,100,748
.\TestInstances\c1\exp1_600_600_10_5.txt,101,690
.\TestInstances\c1\exp1_600_600_20_1.txt,95,875
.\TestInstances\c1\exp1_600_600_20_2.txt,99,829
.\TestInstances\c1\exp1_600_600_20_3.txt,92,736
.\TestInstances\c1\exp1_600_600_20_4.txt,81,731
.\TestInstances\c1\exp1_600_600_20_5.txt,119,914
.\TestInstances\c1\exp1_600_600_40_1.txt,160,1781
.\TestInstances\c1\exp1_600_600_40_2.txt,157,2013
.\TestInstances\c1\exp1_600_600_40_3.txt,142,1518
.\TestInstances\c1\exp1_600_600_40_4.txt,182,1750
.\TestInstances\c1\exp1_600_600_40_5.txt,178,1922
.\TestInstances\c1\exp1_600_600_5_1.txt,78,615
.\TestInstances\c1\exp1_600_600_5_2.txt,79,621
.\TestInstances\c1\exp1_600_600_5_3.txt,86,634
.\TestInstances\c1\exp1_600_600_5_4.txt,72,608
.\TestInstances\c1\exp1_600_600_5_5.txt,75,626
.\TestInstances\c1\exp1_600_600_80_1.txt,168,1905
.\TestInstances\c1\exp1_600_600_80_2.txt,242,2888
.\TestInstances\c1\exp1_600_600_80_3.txt,193,2144
.\TestInstances\c1\exp1_600_600_80_4.txt,226,3414
.\TestInstances\c1\exp1_600_600_80_5.txt,180,2144
.\TestInstances\c2\exp2_1200_1200_10_1.txt,142,2086
.\TestInstances\c2\exp2_1200_1200_10_2.txt,142,1248
.\TestInstances\c2\exp2_1200_1200_10_3.txt,152,1294
.\TestInstances\c2\exp2_1200_1200_10_4.txt,127,1241
.\TestInstances\c2\exp2_1200_1200_10_5.txt,123,1245
.\TestInstances\c2\exp2_1200_1200_20_1.txt,191,2234
.\TestInstances\c2\exp2_1200_1200_20_2.txt,152,2230
.\TestInstances\c2\exp2_1200_1200_20_3.txt,154,2351
.\TestInstances\c2\exp2_1200_1200_20_4.txt,143,2223
.\TestInstances\c2\exp2_1200_1200_20_5.txt,165,2008
.\TestInstances\c2\exp2_1200_1200_5_1.txt,141,1693
.\TestInstances\c2\exp2_1200_1200_5_2.txt,133,1213
.\TestInstances\c2\exp2_1200_1200_5_3.txt,136,1218
.\TestInstances\c2\exp2_1200_1200_5_4.txt,159,1831
.\TestInstances\c2\exp2_1200_1200_5_5.txt,141,1530
.\TestInstances\c2\exp2_1600_1600_10_1.txt,161,1626
.\TestInstances\c2\exp2_1600_1600_10_2.txt,178,2395
.\TestInstances\c2\exp2_1600_1600_10_3.txt,180,2265
.\TestInstances\c2\exp2_1600_1600_10_4.txt,200,3058
.\TestInstances\c2\exp2_1600_1600_10_5.txt,205,1833
.\TestInstances\c2\exp2_1600_1600_20_1.txt,225,2953
.\TestInstances\c2\exp2_1600_1600_20_2.txt,282,2874
.\TestInstances\c2\exp2_1600_1600_20_3.txt,275,2137
.\TestInstances\c2\exp2_1600_1600_20_4.txt,220,2532
.\TestInstances\c2\exp2_1600_1600_20_5.txt,201,2469
.\TestInstances\c2\exp2_1600_1600_5_1.txt,243,4813
.\TestInstances\c2\exp2_1600_1600_5_2.txt,194,1608
.\TestInstances\c2\exp2_1600_1600_5_3.txt,204,2654
.\TestInstances\c2\exp2_1600_1600_5_4.txt,206,2869
.\TestInstances\c2\exp2_1600_1600_5_5.txt,209,2980
.\TestInstances\c2\exp2_2000_2000_10_1.txt,224,2128
.\TestInstances\c2\exp2_2000_2000_10_2.txt,222,2023
.\TestInstances\c2\exp2_2000_2000_10_3.txt,223,2094
.\TestInstances\c2\exp2_2000_2000_10_4.txt,233,2068
.\TestInstances\c2\exp2_2000_2000_10_5.txt,252,3641
.\TestInstances\c2\exp2_2000_2000_20_1.txt,247,3958
.\TestInstances\c2\exp2_2000_2000_20_2.txt,220,2831
.\TestInstances\c2\exp2_2000_2000_20_3.txt,248,3887
.\TestInstances\c2\exp2_2000_2000_20_4.txt,264,2994
.\TestInstances\c2\exp2_2000_2000_20_5.txt,258,3798
.\TestInstances\c2\exp2_2000_2000_5_1.txt,304,4132
.\TestInstances\c2\exp2_2000_2000_5_2.txt,283,5182
.\TestInstances\c2\exp2_2000_2000_5_3.txt,302,4178
.\TestInstances\c2\exp2_2000_2000_5_4.txt,310,6560
.\TestInstances\c2\exp2_2000_2000_5_5.txt,261,2408
.\TestInstances\c2\exp2_2400_2400_10_1.txt,307,2582
.\TestInstances\c2\exp2_2400_2400_10_2.txt,296,2446
.\TestInstances\c2\exp2_2400_2400_10_3.txt,293,3984
.\TestInstances\c2\exp2_2400_2400_10_4.txt,288,3676
.\TestInstances\c2\exp2_2400_2400_10_5.txt,279,2463
.\TestInstances\c2\exp2_2400_2400_20_1.txt,281,3416
.\TestInstances\c2\exp2_2400_2400_20_2.txt,388,4095
.\TestInstances\c2\exp2_2400_2400_20_3.txt,314,4912
.\TestInstances\c2\exp2_2400_2400_20_4.txt,311,4950
.\TestInstances\c2\exp2_2400_2400_20_5.txt,304,4444
.\TestInstances\c2\exp2_2400_2400_5_1.txt,350,7368
.\TestInstances\c2\exp2_2400_2400_5_2.txt,374,8266
.\TestInstances\c2\exp2_2400_2400_5_3.txt,369,6877
.\TestInstances\c2\exp2_2400_2400_5_4.txt,355,5590
.\TestInstances\c2\exp2_2400_2400_5_5.txt,350,5855
.\TestInstances\c2\exp2_800_800_10_1.txt,117,1577
.\TestInstances\c2\exp2_800_800_10_2.txt,107,902
.\TestInstances\c2\exp2_800_800_10_3.txt,111,1084
.\TestInstances\c2\exp2_800_800_10_4.txt,105,888
.\TestInstances\c2\exp2_800_800_10_5.txt,82,816
.\TestInstances\c2\exp2_800_800_20_1.txt,87,882
.\TestInstances\c2\exp2_800_800_20_2.txt,167,1288
.\TestInstances\c2\exp2_800_800_20_3.txt,140,1133
.\TestInstances\c2\exp2_800_800_20_4.txt,139,1148
.\TestInstances\c2\exp2_800_800_20_5.txt,124,1484
.\TestInstances\c2\exp2_800_800_5_1.txt,104,831
.\TestInstances\c2\exp2_800_800_5_2.txt,106,1284
.\TestInstances\c2\exp2_800_800_5_3.txt,108,811
.\TestInstances\c2\exp2_800_800_5_4.txt,113,1111
.\TestInstances\c2\exp2_800_800_5_5.txt,89,817
.\TestInstances\c3\exp2_1000_1000_40_1.txt,197,2556
.\TestInstances\c3\exp2_1000_1000_40_2.txt,193,2752
.\TestInstances\c3\exp2_1000_1000_40_3.txt,196,2830
.\TestInstances\c3\exp2_1000_1000_40_4.txt,193,2385
.\TestInstances\c3\exp2_1000_1000_40_5.txt,187,2568
.\TestInstances\c3\exp2_1000_1000_80_1.txt,264,3886
.\TestInstances\c3\exp2_1000_1000_80_2.txt,305,4621
.\TestInstances\c3\exp2_1000_1000_80_3.txt,299,4696
.\TestInstances\c3\exp2_1000_1000_80_4.txt,247,3527
.\TestInstances\c3\exp2_1000_1000_80_5.txt,264,3859
.\TestInstances\c3\exp2_800_800_40_1.txt,172,2024
.\TestInstances\c3\exp2_800_800_40_2.txt,200,2222
.\TestInstances\c3\exp2_800_800_40_3.txt,199,2466
.\TestInstances\c3\exp2_800_800_40_4.txt,166,2135
.\TestInstances\c3\exp2_800_800_40_5.txt,175,2358
.\TestInstances\c3\exp2_800_800_80_1.txt,248,3887
.\TestInstances\c3\exp2_800_800_80_2.txt,245,3134
.\TestInstances\c3\exp2_800_800_80_3.txt,232,3867
.\TestInstances\c3\exp2_800_800_80_4.txt,214,3156
.\TestInstances\c3\exp2_800_800_80_5.txt,234,3211
.\TestInstances\c3\exp2_900_900_40_1.txt,201,2609
.\TestInstances\c3\exp2_900_900_40_2.txt,186,2326
.\TestInstances\c3\exp2_900_900_40_3.txt,201,2457
.\TestInstances\c3\exp2_900_900_40_4.txt,208,2830
.\TestInstances\c3\exp2_900_900_40_5.txt,187,2453
.\TestInstances\c3\exp2_900_900_80_1.txt,243,3295
.\TestInstances\c3\exp2_900_900_80_2.txt,233,3606
.\TestInstances\c3\exp2_900_900_80_3.txt,261,3265
.\TestInstances\c3\exp2_900_900_80_4.txt,260,4017
.\TestInstances\c3\exp2_900_900_80_5.txt,248,3719
.\TestInstances\d1\1000_24_1.txt,428,411238
.\TestInstances\d1\1000_24_10.txt,430,328978
.\TestInstances\d1\1000_24_2.txt,419,334265
.\TestInstances\d1\1000_24_3.txt,428,313030
.\TestInstances\d1\1000_24_4.txt,435,335229
.\TestInstances\d1\1000_24_5.txt,426,311298
.\TestInstances\d1\1000_24_6.txt,430,386740
.\TestInstances\d1\1000_24_7.txt,423,343906
.\TestInstances\d1\1000_24_8.txt,424,342949
.\TestInstances\d1\1000_24_9.txt,411,354126
.\TestInstances\d1\1000_2_1.txt,509,873551
.\TestInstances\d1\1000_2_10.txt,477,874788
.\TestInstances\d1\1000_2_2.txt,520,906047
.\TestInstances\d1\1000_2_3.txt,469,896856
.\TestInstances\d1\1000_2_4.txt,549,866402
.\TestInstances\d1\1000_2_5.txt,494,871406
.\TestInstances\d1\1000_2_6.txt,531,887736
.\TestInstances\d1\1000_2_7.txt,509,954927
.\TestInstances\d1\1000_2_8.txt,511,889518
.\TestInstances\d1\1000_2_9.txt,524,819105
.\TestInstances\d1\1000_4_1.txt,535,680549
.\TestInstances\d1\1000_4_10.txt,489,690120
.\TestInstances\d1\1000_4_2.txt,519,708995
