filename,duration,totalBusyTime
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_1.txt,15500,28665
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_2.txt,18159,30509
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_3.txt,8920,29819
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_4.txt,12028,29428
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_5.txt,25392,29666
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_1.txt,9571,20401
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_2.txt,14772,20758
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_3.txt,12721,20969
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_4.txt,7889,19951
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_5.txt,8099,20188
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_1.txt,13172,17794
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_2.txt,17066,16706
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_3.txt,11731,17177
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_4.txt,14296,17980
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_5.txt,14296,18206
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_1.txt,10224,12636
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_2.txt,13460,11797
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_3.txt,14158,13539
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_4.txt,7254,12163
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_5.txt,13172,11835
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_1.txt,24534,30097
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_2.txt,33608,30726
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_3.txt,11723,30132
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_4.txt,18155,29361
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_5.txt,18101,31093
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_1.txt,13940,21601
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_2.txt,10847,20881
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_3.txt,10646,22541
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_4.txt,11942,20740
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_5.txt,11759,22513
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_1.txt,9745,17293
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_2.txt,11370,17953
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_3.txt,10551,18244
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_4.txt,12093,18086
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_5.txt,16713,17415
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_1.txt,7587,13459
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_2.txt,16935,12318
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_3.txt,19392,13007
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_4.txt,13311,12460
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_5.txt,11733,13268
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_1.txt,15404,13450
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_2.txt,10372,13633
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_3.txt,18596,13760
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_4.txt,12589,13858
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_5.txt,8418,13902
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_1.txt,23184,9851
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_2.txt,7047,10100
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_3.txt,8216,9859
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_4.txt,10695,10293
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_5.txt,18569,10308
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_1.txt,18088,7832
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_2.txt,9088,7801
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_3.txt,11257,7651
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_4.txt,7312,8130
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_5.txt,11153,8224
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_1.txt,7065,6087
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_2.txt,8405,5448
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_3.txt,8003,5829
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_4.txt,17284,5894
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_5.txt,7132,5637
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_1.txt,8304,15091
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_2.txt,13372,14181
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_3.txt,33531,14522
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_4.txt,6621,13865
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_5.txt,17443,13848
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_1.txt,6232,10875
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_2.txt,9856,9800
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_3.txt,6267,10072
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_4.txt,9234,10762
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_5.txt,9119,10818
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_1.txt,7114,8123
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_2.txt,12346,7856
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_3.txt,18372,8080
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_4.txt,8476,7905
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_5.txt,8705,8240
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_1.txt,10440,5567
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_2.txt,5972,6000
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_3.txt,14598,6268
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_4.txt,10816,6064
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_5.txt,9446,6341
.\TestInstances\c1\exp1_200_200_10_1.txt,8952,1601
.\TestInstances\c1\exp1_200_200_10_2.txt,6156,1621
.\TestInstances\c1\exp1_200_200_10_3.txt,5797,1667
.\TestInstances\c1\exp1_200_200_10_4.txt,6452,1757
.\TestInstances\c1\exp1_200_200_10_5.txt,7053,1705
.\TestInstances\c1\exp1_200_200_20_1.txt,7980,2951
.\TestInstances\c1\exp1_200_200_20_2.txt,8526,2738
.\TestInstances\c1\exp1_200_200_20_3.txt,9990,2403
.\TestInstances\c1\exp1_200_200_20_4.txt,13588,2521
.\TestInstances\c1\exp1_200_200_20_5.txt,11507,2597
.\TestInstances\c1\exp1_200_200_40_1.txt,11387,4718
.\TestInstances\c1\exp1_200_200_40_2.txt,13731,4394
.\TestInstances\c1\exp1_200_200_40_3.txt,14024,4632
.\TestInstances\c1\exp1_200_200_40_4.txt,14306,5101
.\TestInstances\c1\exp1_200_200_40_5.txt,16851,4621
.\TestInstances\c1\exp1_200_200_5_1.txt,4844,1102
.\TestInstances\c1\exp1_200_200_5_2.txt,3969,1023
.\TestInstances\c1\exp1_200_200_5_3.txt,6764,1080
.\TestInstances\c1\exp1_200_200_5_4.txt,5189,1092
.\TestInstances\c1\exp1_200_200_5_5.txt,5760,980
