filename,duration,totalBusyTime
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_1.txt,632,29016
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_2.txt,464,31044
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_3.txt,450,29724
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_4.txt,462,29513
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_5.txt,449,29974
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_1.txt,435,20438
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_2.txt,425,20805
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_3.txt,440,20966
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_4.txt,431,19951
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_5.txt,452,20188
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_1.txt,418,17984
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_2.txt,436,17319
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_3.txt,416,17389
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_4.txt,424,18534
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_5.txt,414,18475
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_1.txt,432,12646
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_2.txt,456,11887
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_3.txt,431,13602
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_4.txt,451,12163
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_5.txt,432,11842
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_1.txt,437,30288
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_2.txt,413,31499
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_3.txt,435,30232
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_4.txt,422,29558
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_5.txt,425,31562
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_1.txt,429,21623
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_2.txt,415,20892
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_3.txt,426,22541
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_4.txt,437,20735
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_5.txt,425,22560
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_1.txt,427,17553
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_2.txt,429,18405
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_3.txt,424,18576
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_4.txt,419,18377
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_5.txt,425,18133
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_1.txt,446,13458
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_2.txt,476,12487
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_3.txt,471,13010
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_4.txt,506,12475
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_5.txt,456,13311
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_1.txt,253,13714
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_2.txt,262,13724
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_3.txt,251,13889
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_4.txt,251,14247
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_5.txt,253,14165
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_1.txt,245,9878
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_2.txt,243,10137
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_3.txt,248,9886
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_4.txt,247,10304
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_5.txt,249,10401
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_1.txt,235,8142
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_2.txt,244,8265
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_3.txt,265,7972
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_4.txt,247,8208
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_5.txt,245,8302
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_1.txt,241,6086
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_2.txt,246,5451
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_3.txt,266,5837
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_4.txt,246,5942
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_5.txt,237,5613
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_1.txt,259,15326
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_2.txt,260,14745
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_3.txt,243,14713
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_4.txt,252,14191
