filename,duration,totalBusyTime
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_1.txt,966,28851
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_2.txt,697,30535
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_3.txt,659,29901
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_4.txt,653,29488
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_5.txt,688,29838
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_1.txt,752,20451
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_2.txt,776,20809
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_3.txt,782,20966
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_4.txt,765,19951
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_5.txt,764,20188
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_1.txt,797,17790
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_2.txt,804,17315
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_3.txt,822,17274
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_4.txt,790,18025
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_5.txt,759,18202
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_1.txt,764,12647
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_2.txt,796,11880
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_3.txt,767,13534
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_4.txt,753,12163
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_5.txt,755,11842
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_1.txt,682,30190
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_2.txt,697,31307
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_3.txt,707,30056
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_4.txt,736,29385
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_5.txt,717,31419
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_1.txt,796,21617
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_2.txt,770,20889
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_3.txt,773,22549
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_4.txt,759,20738
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_5.txt,734,22560
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_1.txt,783,17380
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_2.txt,827,17932
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_3.txt,837,18487
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_4.txt,779,18116
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_5.txt,782,17433
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_1.txt,752,13459
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_2.txt,801,12384
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_3.txt,760,13010
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_4.txt,770,12475
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_5.txt,806,13317
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_1.txt,592,13558
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_2.txt,619,13668
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_3.txt,590,13798
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_4.txt,568,14187
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_5.txt,570,13815
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_1.txt,648,9868
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_2.txt,634,10110
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_3.txt,639,9886
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_4.txt,616,10335
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_5.txt,673,10376
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_1.txt,640,7995
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_2.txt,653,7984
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_3.txt,631,7735
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_4.txt,670,8148
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_5.txt,624,8228
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_1.txt,636,6093
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_2.txt,645,5436
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_3.txt,651,5831
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_4.txt,675,5945
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_5.txt,635,5612
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_1.txt,613,14976
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_2.txt,608,14447
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_3.txt,623,14490
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_4.txt,592,13858
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_5.txt,670,13962
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_1.txt,627,10875
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_2.txt,616,9836
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_3.txt,648,10072
