inst,NumVars,NumConstrs,NumNZs,val_heu,v,bound,v_relaxed,t_model,t_heu,t_solve,t_relax,solution
exp2_800_800_5_1.txt,4331,2718,20880,2773,2637,2637,2624,0.0805783,0.0827963,0.172055,0.0432053,-
exp2_800_800_5_2.txt,4425,2752,21625,2758,2641,2641,2630.33,0.0915287,0.0855093,0.150579,0.0464308,-
exp2_800_800_5_3.txt,4089,2688,19695,2623,2508,2508,2493.88,0.0739949,0.0862648,0.129981,0.0405042,-
exp2_800_800_5_4.txt,4657,2978,24917,2922,2799,2799,2786.12,0.0819836,0.086091,0.253839,0.059763,-
exp2_800_800_5_5.txt,4195,2690,20404,2670,2553,2553,2541,0.0923851,0.0880449,0.12744,0.0404174,-
exp2_1200_1200_5_1.txt,6432,3968,30797,4114,3918,3918,3902.14,0.127067,0.192086,0.211648,0.0512252,-
exp2_1200_1200_5_2.txt,6479,4128,31624,4140,3958,3958,3940.29,0.146167,0.185298,0.223465,0.0557179,-
exp2_1200_1200_5_3.txt,6481,4128,31530,4137,3923,3923,3906.71,0.125885,0.175605,0.207181,0.0528419,-
exp2_1200_1200_5_4.txt,6640,4232,34023,4193,3975,3975,3951.19,0.144792,0.178336,0.223772,0.0650051,-
exp2_1200_1200_5_5.txt,6599,4152,32691,4286,4069,4069,4057.99,0.124851,0.177452,0.224591,0.0556302,-
exp2_1600_1600_5_1.txt,8390,5336,39846,5355,5109,5109,5085.52,0.201834,0.309783,0.286712,0.0698946,-
exp2_1600_1600_5_2.txt,8627,5516,42637,5519,5243,5243,5225.46,0.191332,0.315247,0.256014,0.0809329,-
exp2_1600_1600_5_3.txt,8926,5508,43064,5662,5383,5383,5361.51,0.188795,0.318599,0.313015,0.0761039,-
exp2_1600_1600_5_4.txt,8830,5620,45435,5606,5322,5322,5296.86,0.206731,0.313347,0.34786,0.0831807,-
exp2_1600_1600_5_5.txt,8941,5576,44918,5715,5417,5417,5386.39,0.212332,0.322976,0.43135,0.079895,-
exp2_2000_2000_5_1.txt,11038,7036,55824,6938,6575,6575,6547.34,0.288935,0.492732,0.488743,0.112303,-
exp2_2000_2000_5_2.txt,10965,6950,55742,6913,6572,6572,6537.29,0.268074,0.493694,0.401202,0.101401,-
exp2_2000_2000_5_3.txt,10727,6708,52815,6813,6452,6452,6413.36,0.281104,0.493217,0.369206,0.105107,-
exp2_2000_2000_5_4.txt,10502,6690,51277,6761,6416,6416,6382.58,0.276286,0.486867,0.383598,0.097542,-
exp2_2000_2000_5_5.txt,11275,7238,57757,7186,6812,6812,6780.13,0.291578,0.485803,0.553446,0.107343,-
exp2_2400_2400_5_1.txt,12958,8144,63804,8215,7811,7811,7771.77,0.369995,0.724603,0.447371,0.125845,-
exp2_2400_2400_5_2.txt,12945,8414,65147,8274,7858,7858,7826.24,0.376855,0.715288,0.475079,0.132862,-
exp2_2400_2400_5_3.txt,13302,8422,66989,8456,8000,8000,7956.45,0.37974,0.710816,0.509854,0.13402,-
exp2_2400_2400_5_4.txt,13134,8186,64789,8183,7784,7784,7750.18,0.371229,0.706205,0.54411,0.117825,-
exp2_2400_2400_5_5.txt,13165,8146,64164,8366,7950,7950,7917.83,0.425475,0.746514,0.415241,0.115104,-
exp2_800_800_10_1.txt,7856,4276,55960,4748,4450,4450,4431.75,0.136206,0.0812299,7.95369,0.123126,-
exp2_800_800_10_2.txt,8365,4530,64000,5110,4806,4806,4789.93,0.153545,0.0801356,13.553,0.145344,-
exp2_800_800_10_3.txt,8062,4264,59387,4772,4532,4532,4515.1,0.125752,0.0853562,19.527,0.118325,-
exp2_800_800_10_4.txt,8137,4400,62304,4894,4608,4608,4588.26,0.146809,0.0847876,2.6658,0.112321,-
exp2_800_800_10_5.txt,8446,4544,67833,4875,4621,4621,4607.88,0.131617,0.0839224,8.23921,0.128222,-
exp2_1200_1200_10_1.txt,12532,6872,96366,7445,7079,7079,7059.74,0.233718,0.182103,22.9689,0.193781,-
exp2_1200_1200_10_2.txt,12379,6948,98071,7231,6889,6889,6873.31,0.232805,0.176989,15.6174,0.204911,-
exp2_1200_1200_10_3.txt,11921,6758,90341,7146,6788,6788,6775.7,0.231316,0.176362,44.0825,0.215892,-
exp2_1200_1200_10_4.txt,12722,6952,101645,7531,7143,7143,7121.58,0.248978,0.180749,36.4271,0.210409,-
exp2_1200_1200_10_5.txt,11920,6856,93317,7001,6700,6700,6678.06,0.235507,0.181436,48.7119,0.201295,-
exp2_1600_1600_10_1.txt,16323,9088,125288,9620,9137,9137,9110.24,0.32592,0.315244,13.6658,0.260357,-
exp2_1600_1600_10_2.txt,16906,9450,137118,9931,9461,9461,9431.77,0.360013,0.328859,477.806,0.277176,-
exp2_1600_1600_10_3.txt,17180,9298,133941,10059,9566,9566,9543.89,0.350589,0.296477,46.11,0.323103,-
exp2_1600_1600_10_4.txt,16803,9122,130141,9774,9327,9327,9295.27,0.353889,0.308503,462.43,0.263821,-
exp2_1600_1600_10_5.txt,16928,9450,136374,9846,9349,9349,9326.36,0.342301,0.300588,21.6712,0.292227,-
exp2_2000_2000_10_1.txt,20445,11374,160945,12111,11484,11484,11443.7,0.524987,0.462492,505.046,0.338588,-
exp2_2000_2000_10_2.txt,20547,11402,157963,12145,11544,11544,11509.3,0.442698,0.477236,790.176,0.365765,-
exp2_2000_2000_10_3.txt,21319,11530,168764,12460,11855,11855,11819.9,0.482818,0.485194,454.253,0.376344,-
exp2_2000_2000_10_4.txt,20681,11420,158150,12277,11627,11627,11591.2,0.467537,0.470897,75.6758,0.337507,-
exp2_2000_2000_10_5.txt,21019,11412,162255,12282,11676,11676,11636.2,0.480003,0.476381,979.466,0.355324,-
exp2_2400_2400_10_1.txt,25296,13808,200558,14882,14069,14069,14022.2,0.608042,0.698679,1070.51,0.463099,-
exp2_2400_2400_10_2.txt,25330,14026,198212,14916,14160,14160,14119.9,0.680148,0.710341,1268.47,0.439154,-
exp2_2400_2400_10_3.txt,24748,13586,191118,14553,13891,13891,13838.3,0.578761,0.676512,1550.36,0.395389,-
exp2_2400_2400_10_4.txt,24524,13558,188858,14582,13767,13767,13718.7,0.615986,0.686336,703.784,0.453326,-
exp2_2400_2400_10_5.txt,25575,14366,208337,14900,14189,14189,14147.6,0.620993,0.677324,1437.14,0.558433,-
exp2_800_800_20_1.txt,16263,8116,222160,9320,8900,8895,8881.39,0.343236,0.0937963,1800.02,0.675128,-
exp2_800_800_20_2.txt,16321,8216,221343,9267,8869,8865,8850.52,0.351359,0.0882556,1800.02,0.699555,-
exp2_800_800_20_3.txt,15872,8022,210289,9019,8605,8603,8587.34,0.319662,0.0882144,1800.03,0.710434,-
exp2_800_800_20_4.txt,16511,8438,228752,9256,8879,8875,8866.51,0.36203,0.0893297,1800.04,0.762487,-
exp2_800_800_20_5.txt,16077,8066,211623,9468,8955,8950,8937.08,0.319055,0.0944741,1800.02,0.743786,-
exp2_1200_1200_20_1.txt,24539,12462,336398,14107,13357,13343,13328.1,0.528238,0.167022,1800.01,1.2889,-
exp2_1200_1200_20_2.txt,24319,12030,314363,13623,13085,13070,13054.7,0.451358,0.17353,1800.02,1.29179,-
exp2_1200_1200_20_3.txt,24263,12198,332409,13581,12989,12972,12955.4,0.475938,0.171276,1800.04,1.39474,-
exp2_1200_1200_20_4.txt,23959,11748,308898,13639,13077,13062,13048.9,0.448533,0.17788,1800.02,1.42012,-
exp2_1200_1200_20_5.txt,23472,11820,305262,13512,12893,12883,12866.5,0.449252,0.177578,1800.02,1.09355,-
exp2_1600_1600_20_1.txt,31180,16058,407042,17588,16859,16837,16815.8,0.621161,0.289426,1800.01,1.78687,-
exp2_1600_1600_20_2.txt,31801,15678,406195,17830,17044,17018,17002.8,0.620277,0.294192,1800.02,1.76116,-
