Iteration,TotalBusyTime
0,22560
1,22560
2,22560
3,22560
4,22560
5,22560
6,22560
7,22560
8,22560
9,22560
10,22560
11,22560
12,22560
13,22560
14,22560
15,22560
16,22560
17,22560
18,22560
19,22560
20,22560
21,22560
22,22560
23,22560
24,22560
25,22560
26,22560
27,22560
28,22560
29,22560
30,22560
31,22560
32,22560
33,22560
34,22560
35,22560
36,22560
37,22560
38,22560
39,22560
40,22560
41,22560
42,22560
43,22560
44,22560
45,22560
46,22560
47,22560
48,22560
49,22560
50,22560
51,22560
52,22560
53,22560
54,22560
55,22560
56,22560
57,22560
58,22560
59,22560
60,22560
61,22560
62,22560
63,22560
64,22560
65,22560
66,22560
67,22560
68,22560
69,22560
70,22560
71,22560
72,22560
73,22560
74,22560
75,22560
76,22560
77,22560
78,22560
79,22560
80,22560
81,22560
82,22560
83,22560
84,22560
85,22560
86,22560
87,22560
88,22560
89,22560
90,22560
91,22560
92,22560
93,22560
94,22560
95,22560
96,22560
97,22560
98,22560
99,22560
100,22560
101,22560
102,22560
103,22560
104,22560
105,22560
106,22560
107,22560
108,22560
109,22560
110,22560
111,22560
112,22560
113,22560
114,22560
115,22560
116,22560
117,22560
118,22560
119,22560
120,22560
121,22560
122,22560
123,22560
124,22560
125,22560
126,22560
127,22560
128,22560
129,22560
130,22560
131,22560
132,22560
133,22560
134,22560
135,22560
136,22560
137,22560
138,22560
139,22560
140,22560
141,22560
142,22560
143,22560
144,22560
145,22560
146,22560
147,22560
148,22560
149,22560
150,22560
151,22560
152,22560
153,22560
154,22560
155,22560
156,22560
157,22560
158,22560
159,22560
160,22560
161,22560
162,22560
163,22560
164,22560
165,22560
166,22560
167,22560
168,22560
169,22560
170,22560
171,22560
172,22560
173,22560
174,22560
175,22560
176,22560
177,22560
178,22560
179,22560
180,22560
181,22560
182,22560
183,22560
184,22560
185,22560
186,22560
187,22560
188,22560
189,22560
190,22560
191,22560
192,22560
193,22560
194,22560
195,22560
196,22560
197,22560
198,22560
199,22560
200,22560
201,22560
202,22560
203,22560
204,22560
205,22560
206,22560
207,22560
208,22560
209,22560
210,22560
211,22560
212,22560
213,22560
214,22560
215,22560
216,22560
217,22560
218,22560
219,22560
220,22560
221,22560
222,22560
223,22560
224,22560
225,22560
226,22560
227,22560
228,22560
229,22560
230,22560
231,22560
232,22560
233,22560
234,22560
235,22560
236,22560
237,22560
238,22560
239,22560
240,22560
241,22560
242,22560
243,22560
244,22560
245,22560
246,22560
247,22560
248,22560
249,22560
250,22560
251,22560
252,22560
253,22560
254,22560
255,22560
256,22560
257,22560
258,22560
259,22560
260,22560
261,22560
262,22560
263,22560
264,22560
265,22560
266,22560
267,22560
268,22560
269,22560
270,22560
271,22560
272,22560
273,22560
274,22560
275,22560
276,22560
277,22560
278,22560
279,22560
280,22560
281,22560
282,22560
283,22560
284,22560
285,22560
286,22560
287,22560
288,22560
289,22560
290,22560
291,22560
292,22560
293,22560
294,22560
295,22560
296,22560
297,22560
298,22560
299,22560
300,22560
301,22560
302,22560
303,22560
304,22560
305,22560
306,22560
307,22560
308,22560
309,22560
310,22560
311,22560
312,22560
313,22560
314,22560
315,22560
316,22560
317,22560
318,22560
319,22560
320,22560
321,22560
322,22560
323,22560
324,22560
325,22560
326,22560
327,22560
328,22560
329,22560
330,22560
331,22560
332,22560
333,22560
334,22560
335,22560
336,22560
337,22560
338,22560
339,22560
340,22560
