Iteration,TotalBusyTime
0,35149
1,35149
2,35149
3,35149
4,35149
5,35149
6,35149
7,35149
8,35149
9,35149
10,35149
11,35140
12,35140
13,35140
14,35140
15,35140
16,35140
17,35140
18,35140
19,35140
20,35140
21,35140
22,35140
23,35140
24,35140
25,35140
26,35140
27,35140
28,35140
29,35140
30,35140
31,35140
32,35140
33,35140
34,35140
35,35140
36,35140
37,35140
38,35140
39,35140
40,35140
41,35140
42,35140
43,35140
44,35140
45,35140
46,35140
47,35140
48,35140
49,35140
50,35140
51,35140
52,35117
53,35117
54,35117
55,35117
56,35117
57,35117
58,35117
59,35117
60,35117
61,35117
62,35117
63,35117
64,35117
65,35117
66,35117
67,35117
68,35117
69,35117
70,35117
71,35117
72,35117
73,35117
74,35117
75,35117
76,35117
77,35117
78,35117
79,35117
80,35117
81,35117
82,35117
83,35117
84,35117
85,35117
86,35117
87,35117
88,35117
89,35104
90,35104
91,35104
92,35104
93,35104
94,35104
95,35104
96,35104
97,35104
98,35104
99,35104
100,35104
101,35104
102,35104
103,35104
104,35104
105,35104
106,35104
107,35104
108,35104
109,35104
110,35104
111,35104
112,35104
113,35104
114,35104
115,35104
116,35104
117,35104
118,35104
119,35104
120,35104
121,35104
122,35104
123,35104
124,35104
125,35104
126,35104
127,35104
128,35104
129,35104
130,35104
131,35104
132,35104
133,35104
134,35104
135,35104
136,35104
137,35104
138,35103
139,35103
140,35103
141,35103
142,35103
143,35103
144,35103
145,35103
146,35103
147,35103
148,35103
149,35103
150,35103
151,35103
152,35103
153,35103
154,35103
155,35103
156,35103
157,35103
158,35103
159,35103
160,35103
161,35103
162,35103
163,35103
164,35103
165,35103
166,35103
167,35103
168,35103
169,35103
170,35103
171,35103
172,35103
173,35103
174,35103
175,35103
176,35103
177,35103
178,35103
179,35103
180,35103
181,35103
182,35103
183,35103
184,35103
185,35103
186,35103
187,35103
188,35103
189,35103
190,35103
191,35103
192,35103
193,35103
194,35103
195,35103
196,35103
197,35103
198,35103
199,35103
200,35103
201,35103
202,35103
203,35103
204,35103
205,35103
206,35103
207,35103
208,35103
