Iteration,TotalBusyTime
0,222810
1,222810
2,222810
3,222810
4,222810
5,222810
6,222810
7,222810
8,222810
9,222810
10,222810
11,222810
12,222810
13,222810
14,222810
15,222810
16,222810
17,222810
18,222810
19,222810
20,222810
21,222810
22,222810
23,222810
24,222810
25,222810
26,222810
27,222810
28,222810
29,222810
30,222810
31,222810
32,222810
33,222810
34,222810
35,222810
36,222810
37,222810
38,222810
39,222810
40,222810
41,222810
42,222810
43,222810
44,222810
45,222810
46,222810
47,222810
48,222810
49,222810
50,222810
51,222810
52,222810
53,222757
54,222757
55,222757
56,222757
57,222757
58,222757
59,222757
60,222757
61,222757
62,222757
63,222757
64,222757
65,222757
66,222757
67,222757
68,222757
69,222757
70,222757
71,222757
72,222757
73,222757
74,222757
75,222757
76,222757
77,222757
78,222757
79,222757
80,222757
81,222757
82,222757
83,222757
84,222757
85,222757
86,222757
87,222757
88,222757
89,222757
90,222757
91,222757
92,222757
93,222757
94,222757
95,222757
96,222757
97,222757
98,222757
99,222757
100,222757
101,222757
102,222757
103,222757
104,222757
105,222757
106,222757
107,222757
108,222757
109,222757
110,222757
111,222757
112,222757
113,222757
114,222757
115,222757
116,222757
117,222757
118,222757
119,222757
120,222757
121,222757
122,222757
123,222757
124,222757
125,222757
126,222757
127,222757
128,222757
129,222757
130,222757
131,222757
132,222757
133,222757
134,222757
135,222757
136,222757
137,222757
138,222757
139,222757
140,222757
141,222757
142,222757
143,222757
144,222757
145,222757
146,222757
147,222757
148,222757
149,222757
150,222757
151,222757
152,222757
153,222757
154,222757
155,222757
156,222757
157,222757
158,222757
159,222757
160,222757
161,222757
162,222757
163,222757
164,222757
165,222757
166,222757
167,222757
168,222757
169,222757
170,222757
171,222757
172,222757
173,222757
174,222757
175,222757
176,222757
177,222757
178,222757
179,222757
180,222757
181,222757
182,222757
183,222757
184,222757
185,222757
186,222757
187,222757
188,222757
189,222757
190,222757
191,222757
192,222757
193,222757
194,222757
195,222757
196,222757
197,222757
198,222757
199,222757
200,222757
201,222757
202,222757
203,222757
204,222757
205,222757
206,222757
207,222757
208,222757
209,222757
210,222757
211,222757
212,222757
213,222757
214,222757
215,222757
216,222757
217,222757
218,222757
219,222757
220,222757
221,222757
222,222757
223,222757
224,222757
225,222757
226,222757
227,222757
228,222757
229,222757
230,222757
231,222757
232,222757
233,222757
234,222757
235,222757
236,222757
237,222757
238,222757
239,222757
240,222757
241,222757
242,222757
243,222757
244,222757
245,222757
246,222757
247,222757
248,222757
249,222757
250,222757
251,222757
252,222757
253,222757
254,222757
255,222757
256,222754
257,222754
258,222754
259,222754
260,222754
261,222754
262,222754
263,222754
264,222754
265,222754
266,222754
267,222754
268,222754
269,222754
270,222754
271,222754
272,222754
273,222754
274,222754
275,222754
276,222754
277,222754
278,222754
279,222754
280,222754
281,222754
282,222754
283,222754
284,222754
285,222754
286,222754
287,222754
288,222754
289,222754
290,222754
291,222754
292,222754
293,222754
294,222754
295,222754
296,222754
297,222754
298,222754
299,222754
300,222754
301,222754
302,222754
303,222754
304,222754
305,222754
306,222754
307,222754
308,222754
309,222754
310,222754
311,222754
312,222754
313,222754
314,222754
315,222754
316,222754
317,222754
318,222754
319,222754
320,222754
321,222754
322,222754
323,222754
324,222754
325,222754
326,222754
327,222754
328,222754
329,222754
330,222754
331,222754
332,222754
333,222754
334,222754
335,222754
336,222754
337,222754
338,222754
339,222754
340,222754
341,222754
342,222754
343,222754
344,222754
345,222754
346,222754
347,222754
348,222754
349,222754
350,222754
351,222754
352,222754
353,222754
354,222747
355,222747
356,222747
357,222747
358,222747
359,222747
360,222747
361,222747
362,222747
363,222747
364,222747
365,222747
366,222747
367,222747
368,222747
369,222747
370,222747
371,222747
372,222747
373,222747
374,222747
375,222747
376,222747
377,222747
378,222747
379,222747
380,222747
381,222747
382,222747
383,222747
384,222747
385,222747
386,222747
387,222747
388,222747
389,222747
390,222747
391,222747
392,222747
393,222747
394,222747
395,222747
396,222747
397,222747
398,222747
399,222747
400,222747
401,222747
402,222747
403,222747
404,222747
405,222747
406,222747
407,222747
408,222747
409,222747
410,222747
411,222747
412,222747
413,222747
414,222747
415,222747
416,222747
417,222747
418,222747
419,222747
420,222747
421,222747
422,222747
423,222747
424,222747
425,222747
426,222747
427,222747
428,222747
429,222747
430,222747
431,222747
432,222747
433,222747
434,222747
435,222747
436,222747
437,222747
438,222747
439,222747
440,222747
441,222747
442,222747
443,222747
444,222747
445,222747
446,222747
447,222747
448,222747
449,222747
450,222747
451,222747
452,222747
453,222747
454,222747
455,222747
456,222747
457,222747
458,222747
459,222747
460,222747
461,222747
462,222747
463,222747
464,222747
465,222747
466,222747
467,222747
468,222747
469,222747
470,222747
471,222747
472,222747
473,222747
474,222747
475,222747
476,222747
477,222747
478,222747
479,222747
480,222747
481,222747
482,222747
483,222747
484,222747
485,222747
486,222747
487,222747
488,222747
489,222747
490,222747
491,222747
492,222747
493,222747
494,222747
495,222747
496,222747
497,222747
498,222747
499,222747
500,222747
501,222747
502,222747
503,222747
504,222747
505,222747
506,222747
507,222747
508,222747
509,222747
510,222747
511,222747
512,222747
513,222747
514,222747
515,222747
516,222747
517,222747
518,222747
519,222747
520,222747
521,222747
522,222747
523,222747
524,222747
525,222747
526,222747
527,222747
528,222747
529,222747
530,222747
531,222747
532,222747
533,222747
534,222747
535,222747
536,222747
537,222747
538,222747
539,222747
540,222747
541,222747
542,222747
543,222747
544,222747
545,222747
546,222747
547,222747
548,222747
549,222667
550,222667
551,222667
552,222667
553,222667
554,222667
555,222667
556,222667
557,222667
558,222667
559,222667
560,222667
561,222667
562,222667
563,222667
564,222667
565,222667
566,222667
567,222667
568,222343
569,222343
570,222343
571,222343
572,222343
573,222343
574,222343
575,222343
576,222343
577,222343
578,222343
579,222343
580,222343
581,222343
582,222343
583,222343
584,222343
585,222343
586,222343
587,222343
588,222343
589,222343
590,222343
591,222343
592,222343
593,222343
594,222343
595,222343
596,222343
597,222343
598,222343
599,222343
600,222343
601,222343
602,222343
603,222343
604,222343
605,222343
606,222343
607,222343
608,222343
609,222343
610,222343
611,222343
612,222343
613,222343
614,222343
615,222343
616,222343
617,222343
618,222343
619,222343
620,222343
621,222343
622,222343
623,222343
624,222343
625,222343
626,222343
627,222343
628,222343
629,222343
630,222343
631,222343
632,222343
633,222343
634,222343
635,222343
636,222343
637,222343
638,222343
639,222343
640,222343
641,222343
642,222343
643,222343
644,222343
645,222343
646,222343
647,222343
648,222343
649,222343
650,222343
651,222343
652,222343
653,222343
654,222343
655,222343
656,222343
657,222343
658,222343
659,222343
660,222343
661,222343
662,222343
663,222343
664,222343
665,222343
666,222343
667,222343
668,222343
669,222343
670,222343
671,222343
672,222343
673,222343
674,222343
675,222343
676,222343
677,222343
678,222343
679,222343
680,222343
681,222343
682,222343
683,222343
684,222343
685,222343
686,222343
687,222343
688,222343
689,222343
690,222343
691,222343
692,222343
693,222343
694,222343
695,222343
696,222343
697,222343
698,222343
699,222343
700,222343
701,222343
702,222343
703,222343
704,222343
705,222343
706,222343
707,222343
708,222343
709,222343
710,222343
711,222343
712,222343
713,222343
714,222343
715,222343
716,222343
717,222343
718,222343
719,222343
720,222343
721,222343
722,222343
723,222343
724,222343
725,222343
726,222343
727,222343
728,222343
729,222343
730,222343
731,222343
732,222343
733,222343
734,222343
735,222343
736,222343
737,222343
738,222343
739,222343
740,222343
741,222343
742,222343
743,222343
744,222343
745,222343
746,222343
747,222343
748,222343
749,222343
750,222343
751,222343
752,222343
753,222343
754,222343
755,222343
756,222343
757,222343
758,222343
759,222343
760,222343
761,222343
762,222343
763,222343
764,222343
765,222343
766,222343
767,222343
768,222343
769,222343
770,222343
771,222343
772,222343
773,222343
774,222343
775,222343
776,222343
777,222343
778,222343
779,222343
780,222343
781,222343
782,222343
783,222343
784,222343
785,222343
786,222343
787,222343
788,222343
789,222343
790,222343
791,222343
792,222343
793,222343
794,222343
795,222343
796,222343
797,222343
798,222343
799,222343
800,222343
801,222343
802,222343
803,222343
804,222343
805,222343
806,222343
807,222343
808,222343
809,222343
810,222343
811,222343
812,222343
813,222343
814,222343
815,222343
816,222343
817,222343
818,222343
819,222343
820,222343
821,222343
822,222343
823,222343
824,222343
825,222343
826,222343
827,222343
828,222343
829,222343
830,222343
831,222343
832,222343
833,222343
834,222343
835,222343
836,222343
837,222343
838,222343
839,222343
840,222343
841,222343
842,222343
843,222343
844,222343
845,222343
846,222343
847,222343
848,222343
849,222343
850,222343
851,222343
852,222343
853,222343
854,222343
855,222343
856,222343
857,222343
858,222343
859,222343
860,222343
861,222343
862,222343
863,222343
864,222343
865,222343
866,222343
867,222343
868,222343
869,222343
870,222343
871,222343
872,222343
873,222343
874,222343
875,222343
876,222343
877,222343
878,222343
879,222343
880,222343
881,222343
882,222343
883,222343
884,222343
885,222343
886,222343
887,222343
888,222343
889,222343
890,222343
891,222343
892,222343
893,222343
894,222343
895,222343
896,222343
897,222343
898,222317
899,222317
900,222317
901,222317
902,222317
903,222317
904,222317
905,222317
906,222317
907,222317
908,222317
909,222317
910,222317
911,222317
912,222317
913,222317
914,222317
915,222317
916,222317
917,222317
918,222317
919,222317
920,222317
921,222317
922,222317
923,222317
924,222317
925,222317
926,222317
927,222317
928,222317
929,222317
930,222317
931,222317
932,222317
933,222317
934,222317
935,222317
936,222317
937,222317
938,222317
939,222317
940,222316
941,222316
942,222316
943,222316
944,222316
945,222316
946,222316
947,222316
948,222316
949,222316
950,222316
951,222316
952,222316
953,222316
954,222316
955,222316
956,222316
957,222316
958,222316
959,222316
960,222316
961,222316
962,222316
963,222316
964,222316
965,222316
966,222316
967,222316
968,222316
969,222316
970,222316
971,222316
972,222316
973,222316
974,222316
975,222316
976,222316
977,222316
978,222316
979,222316
980,222316
981,222316
982,222316
983,222316
984,222316
985,222316
986,222316
987,222316
988,222316
989,222316
990,222316
991,222316
992,222316
993,222316
994,222316
995,222316
996,222316
997,222316
998,222316
999,222316
1000,222316
1001,222316
1002,222316
1003,222316
1004,222316
1005,222316
1006,222316
1007,222316
1008,222316
1009,222316
1010,222316
1011,222316
1012,222316
1013,222316
1014,222316
1015,222316
1016,222316
1017,222316
1018,222316
1019,222316
1020,222316
1021,222316
1022,222316
1023,222316
1024,222316
1025,222188
1026,222188
1027,222188
1028,222188
1029,222188
1030,222188
1031,222188
1032,222188
1033,222188
1034,222188
1035,222188
1036,222188
1037,222188
1038,222188
1039,222188
1040,222188
1041,222188
1042,222188
1043,222188
1044,222188
1045,222188
1046,222188
1047,222188
1048,222188
1049,222188
1050,222188
1051,222188
1052,222188
1053,222188
1054,222188
1055,222188
1056,222188
1057,222188
1058,222188
1059,222188
1060,222188
1061,222188
1062,222188
1063,222188
1064,222188
1065,222188
1066,222188
1067,222188
1068,222188
1069,222188
1070,222188
1071,222188
1072,222188
1073,222188
1074,222188
1075,222188
1076,222188
1077,222188
1078,222188
1079,222188
1080,222188
1081,222188
1082,222188
1083,222188
1084,222188
1085,222188
1086,222188
1087,222188
1088,222188
1089,222188
1090,222188
1091,222188
1092,222188
1093,222188
1094,222188
1095,222188
1096,222188
1097,222188
1098,222188
1099,222188
1100,222188
1101,222188
1102,222188
1103,222188
1104,222188
1105,222188
1106,222188
1107,222188
1108,222188
1109,222188
1110,222188
1111,222188
1112,222188
1113,222188
1114,222188
1115,222188
1116,222188
1117,222188
1118,222188
1119,222188
1120,222188
1121,222188
1122,222188
1123,222188
1124,222188
1125,222188
1126,222188
1127,222188
1128,222188
1129,222188
1130,222188
1131,222188
1132,222188
1133,222188
1134,222188
1135,222188
1136,222188
1137,222188
1138,222123
1139,222123
1140,222123
1141,222123
1142,222123
1143,222123
1144,222123
1145,222123
1146,222123
1147,222123
1148,222123
1149,222123
1150,222123
1151,222123
1152,222123
1153,222123
1154,222123
1155,222123
1156,222123
1157,222123
1158,222123
1159,222123
1160,222123
1161,222123
1162,222123
1163,222123
1164,222123
1165,222123
1166,222123
1167,222123
1168,222123
1169,222123
1170,222123
1171,222123
1172,222123
1173,222123
1174,222123
1175,222123
1176,222123
1177,222123
1178,222008
1179,222008
1180,222008
1181,222008
1182,222008
1183,222008
1184,222008
1185,222008
1186,222008
1187,222008
1188,222008
1189,222008
1190,222008
1191,222008
1192,222008
1193,222008
1194,222008
1195,222008
1196,222008
1197,222008
1198,222008
1199,222008
1200,222008
1201,222008
1202,222008
1203,222008
1204,222008
1205,222008
1206,222008
1207,222008
1208,222008
1209,222008
1210,222008
1211,222008
1212,222008
1213,222008
1214,222008
1215,222008
1216,222008
1217,222008
1218,222008
1219,222008
1220,222008
1221,222008
1222,222008
1223,222008
1224,222008
1225,222008
1226,222008
1227,221960
1228,221960
1229,221960
1230,221960
1231,221960
1232,221960
1233,221960
1234,221960
1235,221960
1236,221960
1237,221960
1238,221960
1239,221960
1240,221960
1241,221960
1242,221960
1243,221960
1244,221960
1245,221960
1246,221960
1247,221960
1248,221960
1249,221960
1250,221960
1251,221960
1252,221960
1253,221960
1254,221960
1255,221960
1256,221960
1257,221960
1258,221960
1259,221960
1260,221960
1261,221960
1262,221960
1263,221960
1264,221960
1265,221960
1266,221960
1267,221960
1268,221960
1269,221960
1270,221960
1271,221960
1272,221960
1273,221960
1274,221960
1275,221960
1276,221960
1277,221960
1278,221960
1279,221960
1280,221960
1281,221960
1282,221960
1283,221960
1284,221960
1285,221960
1286,221960
1287,221960
1288,221960
1289,221960
1290,221960
1291,221960
1292,221960
1293,221960
1294,221960
1295,221960
1296,221960
1297,221960
1298,221960
1299,221960
1300,221960
1301,221960
1302,221960
1303,221960
1304,221960
1305,221960
1306,221960
1307,221960
1308,221960
1309,221960
1310,221960
1311,221960
1312,221960
1313,221960
1314,221960
1315,221960
1316,221960
1317,221960
1318,221960
1319,221960
1320,221960
1321,221960
1322,221960
1323,221960
1324,221960
1325,221960
1326,221960
1327,221960
1328,221960
1329,221960
1330,221960
1331,221960
1332,221960
1333,221960
1334,221960
1335,221960
1336,221960
1337,221960
1338,221960
1339,221960
1340,221960
1341,221960
1342,221960
1343,221960
1344,221960
1345,221960
1346,221960
1347,221960
1348,221960
1349,221960
1350,221960
1351,221960
1352,221960
1353,221960
1354,221960
1355,221960
1356,221960
1357,221960
1358,221908
1359,221908
1360,221908
1361,221908
1362,221908
1363,221908
1364,221908
1365,221908
1366,221908
1367,221908
1368,221908
1369,221908
1370,221908
1371,221908
1372,221908
1373,221908
1374,221908
1375,221908
1376,221908
1377,221908
1378,221750
1379,221750
1380,221750
1381,221750
1382,221750
1383,221750
1384,221750
1385,221750
1386,221750
1387,221750
1388,221703
1389,221703
1390,221703
1391,221703
1392,221703
1393,221703
1394,221703
1395,221703
1396,221703
1397,221703
1398,221703
1399,221703
1400,221703
1401,221703
1402,221703
1403,221703
1404,221703
1405,221703
1406,221703
1407,221703
1408,221703
1409,221703
1410,221703
1411,221703
1412,221703
1413,221703
1414,221703
1415,221703
1416,221703
1417,221703
1418,221703
1419,221703
1420,221703
1421,221703
1422,221703
1423,221703
1424,221703
1425,221703
1426,221703
1427,221703
1428,221703
1429,221703
1430,221703
1431,221703
1432,221703
1433,221703
1434,221703
1435,221703
1436,221703
1437,221703
1438,221703
1439,221703
1440,221703
1441,221703
1442,221703
1443,221703
1444,221703
1445,221703
1446,221703
1447,221703
1448,221703
1449,221703
1450,221703
1451,221703
1452,221703
1453,221703
1454,221703
1455,221703
1456,221703
1457,221703
1458,221703
1459,221703
1460,221703
1461,221703
1462,221703
1463,221703
1464,221703
1465,221703
1466,221703
1467,221703
1468,221703
1469,221703
1470,221703
1471,221703
1472,221703
1473,221703
1474,221703
1475,221703
1476,221703
1477,221703
1478,221703
1479,221703
1480,221703
1481,221703
1482,221703
1483,221703
1484,221703
1485,221703
1486,221703
1487,221703
1488,221703
1489,221703
1490,221703
1491,221703
1492,221703
1493,221703
1494,221703
1495,221703
1496,221703
1497,221703
1498,221703
1499,221703
1500,221703
1501,221703
1502,221703
1503,221703
1504,221703
1505,221703
1506,221703
1507,221703
1508,221703
1509,221703
1510,221703
1511,221703
1512,221703
1513,221703
1514,221703
1515,221703
1516,221703
1517,221703
1518,221703
1519,221703
1520,221703
1521,221703
1522,221703
1523,221703
1524,221703
1525,221703
1526,221703
1527,221703
1528,221703
1529,221703
1530,221703
1531,221703
1532,221703
1533,221703
1534,221703
1535,221703
1536,221703
1537,221703
1538,221703
1539,221703
1540,221703
1541,221703
1542,221703
1543,221703
1544,221703
1545,221703
1546,221703
1547,221703
1548,221703
1549,221703
1550,221703
1551,221703
1552,221703
1553,221703
1554,221703
1555,221703
1556,221703
1557,221703
1558,221703
1559,221703
1560,221703
1561,221703
1562,221703
1563,221703
1564,221703
1565,221703
1566,221703
1567,221703
1568,221703
1569,221703
1570,221703
1571,221703
1572,221703
1573,221703
1574,221703
1575,221703
1576,221703
1577,221703
1578,221703
1579,221703
1580,221703
1581,221703
1582,221703
1583,221703
1584,221703
1585,221703
1586,221703
1587,221703
1588,221703
1589,221703
1590,221703
1591,221703
1592,221703
1593,221703
1594,221703
1595,221703
1596,221703
1597,221703
1598,221703
1599,221703
1600,221703
1601,221703
1602,221703
1603,221703
1604,221703
1605,221703
1606,221703
1607,221703
1608,221703
1609,221703
1610,221703
1611,221703
1612,221703
1613,221703
1614,221703
1615,221703
1616,221703
1617,221703
1618,221703
1619,221703
1620,221703
1621,221703
1622,221703
1623,221703
1624,221703
1625,221703
1626,221703
1627,221703
1628,221703
1629,221703
1630,221703
1631,221703
1632,221703
1633,221703
1634,221703
1635,221703
1636,221703
1637,221703
1638,221703
1639,221703
1640,221703
1641,221703
1642,221703
1643,221703
1644,221703
1645,221703
1646,221703
1647,221703
1648,221703
1649,221703
1650,221703
1651,221703
1652,221703
1653,221703
1654,221703
1655,221703
1656,221703
1657,221703
1658,221703
1659,221703
1660,221703
1661,221703
1662,221703
1663,221703
1664,221703
1665,221703
1666,221703
1667,221703
1668,221703
1669,221703
1670,221703
1671,221703
1672,221703
1673,221703
1674,221703
1675,221703
1676,221703
1677,221703
1678,221703
1679,221703
1680,221703
1681,221703
1682,221703
1683,221703
1684,221703
1685,221703
1686,221703
1687,221703
1688,221703
1689,221703
1690,221703
1691,221703
1692,221703
1693,221703
1694,221703
1695,221703
1696,221703
1697,221703
1698,221703
1699,221703
1700,221703
1701,221703
1702,221703
1703,221703
1704,221703
1705,221703
1706,221703
1707,221703
1708,221703
1709,221703
1710,221703
1711,221703
1712,221703
1713,221703
1714,221703
1715,221703
1716,221703
1717,221703
1718,221703
1719,221703
1720,221703
1721,221703
1722,221703
1723,221703
1724,221703
1725,221703
1726,221703
1727,221703
1728,221703
1729,221703
1730,221703
1731,221703
1732,221703
1733,221703
1734,221703
1735,221703
1736,221703
1737,221703
1738,221703
1739,221703
1740,221703
1741,221703
1742,221703
1743,221703
1744,221703
1745,221703
1746,221703
1747,221703
1748,221703
1749,221703
1750,221703
1751,221703
1752,221703
1753,221703
1754,221703
1755,221703
1756,221703
1757,221703
1758,221703
1759,221703
1760,221703
1761,221703
1762,221703
1763,221703
1764,221703
1765,221703
1766,221703
1767,221703
1768,221703
1769,221703
1770,221703
1771,221703
1772,221703
1773,221703
1774,221703
1775,221703
1776,221703
1777,221703
1778,221703
1779,221703
1780,221703
1781,221703
1782,221648
1783,221648
1784,221648
1785,221648
1786,221648
1787,221648
1788,221648
1789,221648
1790,221648
1791,221648
1792,221648
1793,221648
1794,221648
1795,221648
1796,221648
1797,221648
1798,221648
1799,221648
1800,221648
1801,221648
1802,221648
1803,221648
1804,221648
1805,221648
1806,221648
1807,221648
1808,221648
1809,221648
1810,221648
1811,221648
1812,221648
1813,221648
1814,221648
1815,221648
1816,221648
1817,221648
1818,221648
1819,221648
1820,221648
1821,221648
1822,221648
1823,221648
1824,221648
1825,221648
1826,221648
1827,221648
1828,221648
1829,221648
1830,221648
1831,221648
1832,221648
1833,221648
1834,221648
1835,221648
1836,221648
1837,221648
1838,221648
1839,221648
1840,221648
