Iteration,TotalBusyTime
0,3880907
1,3880907
2,3880907
3,3880907
4,3880907
5,3880907
6,3880907
7,3880907
8,3880907
9,3880907
10,3880907
11,3880907
12,3880907
13,3880907
14,3880907
15,3880907
16,3880907
17,3880907
18,3880907
19,3880907
20,3880907
21,3880907
22,3880907
23,3880907
24,3880907
25,3880907
26,3880907
27,3880907
28,3880907
29,3880907
30,3880907
31,3880907
32,3880907
33,3880907
34,3880907
35,3880907
36,3880907
37,3880907
38,3880907
39,3880907
40,3880907
41,3880907
42,3880907
43,3880907
44,3880907
45,3880907
46,3880907
47,3880907
48,3880907
49,3880907
50,3880907
51,3880907
52,3880907
53,3880907
54,3880907
55,3880907
56,3880907
57,3880907
58,3880907
59,3880907
60,3880907
61,3880907
62,3880907
63,3880907
64,3880907
65,3880907
66,3880907
67,3880907
68,3880907
69,3880907
70,3880907
71,3880907
72,3880907
73,3880907
74,3880907
75,3880907
76,3880907
77,3880907
78,3880907
79,3880907
80,3880907
81,3880907
82,3880907
83,3880907
84,3880907
85,3880907
86,3880907
87,3880907
88,3880907
89,3880907
90,3880907
91,3880907
92,3880907
93,3880907
94,3880907
95,3880907
96,3880907
97,3880907
98,3880907
99,3880907
100,3880907
101,3880907
102,3880907
103,3880907
104,3880907
105,3880907
106,3880907
107,3880907
108,3880907
109,3880907
110,3880907
111,3880907
112,3880907
113,3880907
114,3880907
115,3880907
116,3880907
117,3880907
118,3880907
119,3880907
120,3880907
121,3880907
122,3880907
123,3880907
124,3880907
125,3880907
126,3880907
127,3880907
128,3880907
129,3880907
130,3880907
131,3880907
132,3880907
133,3880907
134,3880907
135,3880907
136,3880907
137,3880907
138,3880907
139,3880907
140,3880907
141,3880907
142,3880907
143,3880907
144,3880907
145,3880907
146,3880907
147,3880907
148,3880907
149,3880907
150,3880907
151,3880907
152,3880907
153,3880907
154,3880907
155,3880907
156,3880907
157,3880907
158,3880907
159,3880907
160,3880907
161,3880907
162,3880907
163,3880907
164,3880907
165,3880907
166,3880907
167,3880907
168,3880907
169,3880907
170,3880907
171,3880907
172,3880907
173,3880907
174,3880907
175,3880907
176,3880907
177,3880907
178,3880907
179,3880907
180,3880907
181,3880907
182,3880907
183,3880907
184,3880907
185,3880907
186,3880907
187,3880907
188,3880907
189,3880907
190,3880907
191,3880907
192,3880907
193,3880907
194,3880907
195,3880907
196,3880907
197,3880907
198,3880907
199,3880907
200,3880907
201,3880907
202,3880907
203,3880907
204,3880907
205,3880907
206,3880907
207,3880907
208,3880907
209,3880907
210,3880907
211,3880907
212,3880907
213,3880907
214,3880907
215,3880907
216,3880907
217,3880907
218,3880907
219,3880907
220,3880907
221,3880907
222,3880907
223,3880907
224,3880907
225,3880907
226,3880907
227,3880907
228,3880907
229,3880907
230,3880907
231,3880907
232,3880907
233,3880907
234,3880907
235,3880907
236,3880907
237,3880907
238,3880907
239,3880907
240,3880907
241,3880907
242,3880907
243,3880907
244,3880907
245,3880907
246,3880907
247,3880907
248,3880907
249,3880907
250,3880907
251,3880907
252,3880907
253,3880907
254,3880907
255,3880907
256,3880907
257,3880907
258,3880907
259,3880907
260,3880907
261,3880907
262,3880907
263,3880907
264,3880907
265,3880907
266,3880907
267,3880907
268,3880907
269,3880907
270,3880907
271,3880907
272,3880907
273,3880907
274,3880907
275,3880907
276,3880907
277,3880907
278,3880907
279,3880907
280,3880907
281,3880907
282,3880907
283,3880907
284,3880907
285,3880907
286,3880907
287,3880907
288,3880907
289,3880907
290,3880907
291,3880907
292,3880907
293,3880907
294,3880907
295,3880907
296,3880907
297,3880907
298,3880907
299,3880907
300,3880907
301,3880907
302,3880907
303,3880907
304,3880907
305,3880907
306,3880907
307,3880907
308,3880907
309,3880907
310,3880907
311,3880907
312,3880907
313,3880907
314,3880907
315,3880907
316,3880907
317,3880907
318,3880907
319,3880907
320,3880907
321,3880907
322,3880907
323,3880907
324,3880907
325,3880907
326,3880907
327,3880907
328,3880907
329,3880907
330,3880907
331,3880907
332,3880907
333,3880907
334,3880907
335,3880907
336,3880907
337,3880907
338,3880907
339,3880907
340,3880907
341,3880907
342,3880907
343,3880907
344,3880907
345,3880907
346,3880907
347,3880907
348,3880907
349,3880907
350,3880907
351,3880907
352,3880907
353,3880907
354,3880907
355,3880907
356,3880907
357,3880907
358,3880907
359,3880907
360,3880907
361,3880907
362,3880907
363,3880907
364,3880907
365,3880907
366,3880907
367,3880907
368,3880907
369,3880907
370,3880907
371,3880907
372,3880907
373,3880907
374,3880907
375,3880907
376,3880907
377,3880907
378,3880907
379,3880907
380,3880907
381,3880907
382,3880907
383,3880907
384,3880907
385,3880907
386,3880907
387,3880907
388,3880907
389,3880907
390,3880907
391,3880907
392,3880907
393,3880907
394,3880907
395,3880907
396,3880907
397,3880907
398,3880907
399,3880907
400,3880907
401,3880907
402,3880907
403,3880907
404,3880907
405,3880907
406,3880907
407,3880907
408,3880907
409,3880907
410,3880907
411,3880907
412,3880907
413,3880907
414,3880907
415,3880907
416,3880907
417,3880907
418,3880907
419,3880907
420,3880907
421,3880907
422,3880907
423,3880907
424,3880907
425,3880907
426,3880907
427,3880907
428,3880907
429,3880907
430,3880907
431,3880907
432,3880907
433,3880907
434,3880907
435,3880907
436,3880907
437,3880907
438,3880907
439,3880907
440,3880907
441,3880907
442,3880907
443,3880907
444,3880907
445,3880907
446,3880907
447,3880907
448,3880907
449,3880907
450,3880907
451,3880907
452,3880907
453,3880907
454,3880907
455,3880907
456,3880907
457,3880907
458,3880907
459,3880907
460,3880907
461,3880907
462,3880907
463,3880907
464,3880907
465,3880907
466,3880907
467,3880907
468,3880907
469,3880907
470,3880907
471,3880907
472,3880907
473,3880907
474,3880907
475,3880907
476,3880907
477,3880907
478,3880907
479,3880907
480,3880907
481,3880907
482,3880907
483,3880907
484,3880907
485,3880907
486,3880907
487,3880907
488,3880907
489,3880907
490,3880907
491,3880907
492,3880907
493,3880907
494,3880907
495,3880907
496,3880907
497,3880907
498,3880907
499,3880907
500,3880907
501,3880907
502,3880907
503,3880907
504,3880907
505,3880907
506,3880907
507,3880907
508,3880907
509,3880907
510,3880907
511,3880907
512,3880907
513,3880907
514,3880907
515,3880907
516,3880907
517,3880907
518,3880907
519,3880907
520,3880907
521,3880907
522,3880907
523,3880907
524,3880907
525,3880907
526,3880907
527,3880907
528,3880907
529,3880907
530,3880907
531,3880907
532,3880907
533,3880907
534,3880907
535,3880907
536,3880907
537,3880907
538,3880907
539,3880907
540,3880907
541,3880907
542,3880907
543,3880907
544,3880907
545,3880907
546,3880907
547,3880907
548,3880907
549,3880907
550,3880907
551,3880907
552,3880907
553,3880907
554,3880907
555,3880907
556,3880907
557,3880907
558,3880907
559,3880907
560,3880907
561,3880907
562,3880907
563,3880907
564,3880907
565,3880907
566,3880907
567,3880907
568,3880907
569,3880907
570,3880907
571,3880907
572,3880907
573,3880907
574,3880907
575,3880907
576,3880907
577,3880907
578,3880907
579,3880907
580,3880907
581,3880907
582,3880907
583,3880907
584,3880907
585,3880907
586,3880907
587,3880907
588,3880907
589,3880907
590,3880907
591,3880907
592,3880907
593,3880907
594,3880907
595,3880872
596,3880872
597,3880872
598,3880872
599,3880872
600,3880872
601,3880872
602,3880872
603,3880872
604,3880872
605,3880872
606,3880872
607,3880872
608,3880872
609,3880872
610,3880872
611,3880872
612,3880872
613,3880872
614,3880872
615,3880872
616,3880872
617,3880872
618,3880872
619,3880872
620,3880872
621,3880872
622,3880872
623,3880872
624,3880872
625,3880872
626,3880872
627,3880872
628,3880872
629,3880872
630,3880872
631,3880872
632,3880872
633,3880872
634,3880872
635,3880872
636,3880872
637,3880872
638,3880872
639,3880872
640,3880872
641,3880872
642,3880872
643,3880872
644,3880872
645,3880872
646,3880872
647,3880872
648,3880872
649,3880872
650,3880872
651,3880872
652,3880872
653,3880872
654,3880872
655,3880872
656,3880872
657,3880872
658,3880872
659,3880872
660,3880872
661,3880872
662,3880872
663,3880872
664,3880872
665,3880872
666,3880872
667,3880872
668,3880872
669,3880872
670,3880872
671,3880872
672,3880872
673,3880872
674,3880872
675,3880872
676,3880872
677,3880872
678,3880872
679,3880872
680,3880872
681,3880872
682,3880872
683,3880872
684,3880872
685,3880872
686,3880872
687,3880872
688,3880872
689,3880872
690,3880872
691,3880872
692,3880872
693,3880872
694,3880872
695,3880872
696,3880872
697,3880872
698,3880872
699,3880872
700,3880872
701,3880872
702,3880872
703,3880872
704,3880872
705,3880872
706,3880872
707,3880872
708,3880872
709,3880872
710,3880872
711,3880872
712,3880872
713,3880872
714,3880872
715,3880872
716,3880872
717,3880872
718,3880872
719,3880872
720,3880872
721,3880872
722,3880872
723,3880872
724,3880872
725,3880872
726,3880872
727,3880872
728,3880872
729,3880872
730,3880872
731,3880872
732,3880872
733,3880872
734,3880872
735,3880872
736,3880872
737,3880872
738,3880872
739,3880872
740,3880872
741,3880872
742,3880872
743,3880872
744,3880872
745,3880872
746,3880872
747,3880872
748,3880872
749,3880872
750,3880872
751,3880872
752,3880872
753,3880872
754,3880872
755,3880872
756,3880872
757,3880872
758,3880872
759,3880872
760,3880872
761,3880872
762,3880872
763,3880872
764,3880872
765,3880872
766,3880872
767,3880872
768,3880872
769,3880872
770,3880872
771,3880872
772,3880872
773,3880872
774,3880872
775,3880872
776,3880872
777,3880872
778,3880872
779,3880872
780,3880872
781,3880872
782,3880872
783,3880872
784,3880872
785,3880872
786,3880872
787,3880872
788,3880872
789,3880872
790,3880872
791,3880872
792,3880872
793,3880872
794,3880872
795,3880872
796,3880872
797,3880872
798,3880872
799,3880872
800,3880872
801,3880872
802,3880872
803,3880872
804,3880872
805,3880872
806,3880872
807,3880872
808,3880872
809,3880872
810,3880872
811,3880872
812,3880872
813,3880872
814,3880872
815,3880872
816,3880872
817,3880872
818,3880872
819,3880872
820,3880872
821,3880872
822,3880872
823,3880872
824,3880872
825,3880872
826,3880872
827,3880872
828,3880872
829,3880872
830,3880872
831,3880872
832,3880872
833,3880872
834,3880872
835,3880872
836,3880872
837,3880872
838,3880872
839,3880872
840,3880872
841,3880872
842,3880872
843,3880872
844,3880872
845,3880872
846,3880872
847,3880872
848,3880872
849,3880872
850,3880872
851,3880872
852,3880872
853,3880872
854,3880872
855,3880872
856,3880872
857,3880872
858,3880872
859,3880872
860,3880872
861,3880872
862,3880872
863,3880872
864,3880872
865,3880872
866,3880872
867,3880872
868,3880872
869,3880872
870,3880872
871,3880872
872,3880872
873,3880872
874,3880872
875,3880872
876,3880872
877,3880872
878,3880872
879,3880872
880,3880872
881,3880872
882,3880872
883,3880872
884,3880872
885,3880872
886,3880872
887,3880872
888,3880872
889,3880872
890,3880872
891,3880872
892,3880872
893,3880872
894,3880872
895,3880872
896,3880872
897,3880872
898,3880872
899,3880872
900,3880872
901,3880872
902,3880872
903,3880872
904,3880872
905,3880872
906,3880872
907,3880872
908,3880872
909,3880872
910,3880872
911,3880872
912,3880872
913,3880872
