Iteration,TotalBusyTime
0,2364
1,2364
2,2364
3,2364
4,2364
5,2364
6,2364
7,2364
8,2364
9,2364
10,2364
11,2364
12,2364
13,2364
14,2364
15,2364
16,2364
17,2364
18,2364
19,2364
20,2364
21,2364
22,2364
23,2364
24,2364
25,2364
26,2364
27,2361
28,2361
29,2361
30,2361
31,2361
32,2361
33,2361
34,2361
35,2361
36,2361
37,2361
38,2361
39,2361
40,2361
41,2361
42,2361
43,2361
44,2361
45,2361
46,2361
47,2361
48,2361
49,2361
50,2361
51,2361
52,2361
53,2361
54,2361
55,2361
56,2361
57,2361
58,2361
59,2361
60,2361
61,2361
62,2361
63,2361
64,2361
65,2361
66,2361
67,2361
68,2361
69,2361
70,2361
71,2361
72,2361
73,2361
74,2361
75,2361
76,2361
77,2361
78,2361
79,2361
80,2361
81,2361
82,2361
83,2361
84,2361
85,2361
86,2361
87,2361
88,2361
89,2361
90,2361
91,2361
92,2361
93,2361
94,2361
95,2361
96,2361
97,2361
98,2361
99,2354
100,2354
101,2354
102,2354
103,2354
104,2354
105,2354
106,2354
107,2354
108,2354
109,2354
110,2354
111,2354
112,2354
113,2354
114,2354
115,2354
116,2354
117,2354
118,2354
119,2354
120,2354
121,2354
122,2354
123,2354
124,2354
125,2354
126,2354
127,2354
128,2354
129,2354
130,2354
131,2354
132,2354
133,2354
134,2354
135,2354
136,2354
137,2354
138,2354
139,2354
140,2354
141,2354
142,2354
143,2354
144,2354
145,2354
146,2354
147,2354
148,2354
149,2354
150,2354
151,2354
152,2354
153,2354
154,2354
155,2354
156,2354
157,2354
158,2354
159,2354
160,2354
161,2354
162,2354
163,2354
164,2354
165,2354
166,2354
167,2354
168,2354
169,2354
170,2354
171,2354
172,2354
173,2354
174,2354
175,2354
176,2354
177,2354
178,2354
179,2354
180,2354
181,2354
182,2354
183,2354
184,2354
185,2354
186,2354
187,2354
188,2354
189,2354
190,2354
191,2354
192,2354
193,2354
194,2354
195,2354
196,2354
197,2354
198,2354
199,2354
200,2354
201,2354
202,2354
203,2354
204,2354
205,2354
206,2354
207,2354
208,2354
209,2354
210,2354
211,2354
212,2354
213,2354
214,2354
215,2354
216,2354
217,2354
218,2354
