Iteration,TotalBusyTime
0,1220
1,1220
2,1220
3,1220
4,1214
5,1214
6,1214
7,1214
8,1214
9,1214
10,1214
11,1214
12,1214
13,1214
14,1214
15,1214
16,1214
17,1214
18,1214
19,1214
20,1214
21,1214
22,1184
23,1184
24,1184
25,1183
26,1183
27,1183
28,1183
29,1183
30,1183
31,1183
32,1183
33,1183
34,1183
35,1183
36,1183
37,1183
38,1183
39,1183
40,1183
41,1183
42,1183
43,1183
44,1183
45,1183
46,1183
47,1183
48,1183
49,1183
50,1183
51,1183
52,1183
53,1183
54,1183
55,1183
56,1183
57,1183
58,1183
59,1177
60,1177
61,1177
62,1177
63,1177
64,1177
65,1177
66,1177
67,1177
68,1177
69,1177
70,1177
71,1177
72,1177
73,1177
74,1177
75,1177
76,1177
77,1177
78,1177
79,1177
80,1177
81,1177
82,1177
83,1177
84,1177
85,1177
86,1177
87,1177
88,1177
89,1177
90,1177
91,1176
92,1176
93,1176
94,1165
95,1165
96,1165
97,1165
98,1165
99,1165
100,1165
101,1165
102,1165
103,1165
104,1165
105,1165
106,1165
107,1165
108,1165
109,1165
110,1165
111,1165
112,1165
113,1165
114,1165
115,1165
116,1165
117,1165
118,1165
119,1165
120,1165
121,1165
122,1165
123,1165
124,1165
125,1165
126,1165
127,1165
128,1165
129,1165
130,1165
131,1165
132,1165
133,1165
134,1165
135,1165
136,1165
137,1165
138,1165
139,1165
140,1165
141,1165
142,1165
143,1165
144,1165
145,1165
146,1165
147,1165
148,1165
149,1165
150,1165
151,1165
152,1165
153,1165
154,1165
155,1165
156,1165
157,1165
158,1165
159,1165
160,1165
161,1165
162,1161
163,1161
164,1161
165,1161
166,1161
167,1161
168,1161
169,1161
170,1161
171,1161
172,1161
173,1160
174,1160
175,1160
176,1160
177,1160
178,1160
179,1160
180,1160
181,1160
182,1160
183,1160
184,1160
185,1160
186,1160
187,1160
188,1160
189,1160
190,1160
191,1160
192,1160
193,1160
194,1160
195,1160
196,1160
197,1160
198,1160
199,1160
200,1160
201,1160
202,1160
203,1160
204,1160
205,1160
206,1160
207,1160
208,1160
209,1160
210,1160
211,1160
212,1160
213,1160
214,1160
215,1160
216,1160
217,1160
218,1160
219,1160
220,1160
221,1160
222,1160
223,1160
224,1160
225,1160
226,1160
227,1160
228,1160
229,1160
230,1160
231,1160
232,1160
233,1160
234,1160
235,1160
236,1160
237,1160
238,1160
239,1160
240,1160
241,1160
242,1160
243,1160
244,1160
245,1160
246,1160
247,1160
248,1160
249,1160
250,1160
251,1160
252,1160
253,1160
254,1160
255,1160
256,1160
257,1160
258,1160
259,1160
260,1160
261,1160
262,1160
263,1160
264,1160
265,1160
266,1160
267,1160
268,1160
269,1160
270,1160
271,1160
272,1160
273,1160
274,1160
275,1160
276,1160
277,1160
278,1160
279,1160
280,1160
281,1160
282,1160
283,1160
284,1160
285,1160
286,1160
287,1160
288,1160
289,1160
290,1160
291,1160
292,1160
293,1160
294,1160
295,1160
296,1160
297,1157
298,1157
299,1157
300,1157
301,1157
302,1157
303,1157
304,1157
305,1157
306,1157
307,1157
308,1157
309,1157
310,1157
311,1157
312,1157
313,1157
314,1157
315,1157
316,1157
317,1157
318,1157
319,1157
320,1157
321,1157
322,1157
323,1157
324,1157
325,1157
326,1157
327,1157
328,1157
329,1157
330,1157
331,1157
332,1157
333,1157
334,1157
335,1157
336,1157
337,1157
338,1157
339,1157
340,1157
341,1157
342,1157
343,1157
344,1157
345,1157
346,1157
347,1157
348,1157
349,1157
350,1157
351,1157
352,1157
353,1157
354,1157
355,1157
356,1157
357,1157
358,1157
359,1157
360,1157
361,1157
362,1157
363,1157
364,1157
365,1157
366,1157
367,1157
368,1157
369,1157
370,1157
371,1157
372,1157
373,1157
374,1157
375,1157
376,1157
377,1157
378,1157
379,1157
380,1157
381,1157
382,1157
383,1157
384,1157
385,1157
386,1157
387,1157
388,1157
389,1157
390,1157
391,1157
392,1157
393,1157
394,1157
395,1157
396,1157
397,1157
398,1157
399,1157
400,1157
401,1157
402,1157
403,1157
404,1157
405,1157
406,1157
407,1157
408,1157
409,1157
410,1157
411,1157
412,1157
413,1157
414,1157
415,1157
416,1157
417,1157
418,1157
419,1157
420,1157
421,1157
422,1157
423,1157
424,1157
425,1157
426,1157
427,1157
428,1157
429,1157
430,1157
431,1157
432,1157
433,1157
434,1157
435,1157
436,1157
437,1157
438,1157
439,1157
440,1157
441,1157
442,1157
443,1157
444,1157
445,1157
446,1157
447,1157
448,1157
449,1157
450,1157
451,1157
452,1157
453,1157
454,1157
455,1157
456,1157
457,1157
458,1157
459,1157
460,1157
461,1157
462,1157
463,1157
464,1157
465,1157
466,1157
467,1157
468,1157
469,1157
470,1157
471,1157
472,1157
473,1157
474,1157
475,1157
476,1157
477,1157
478,1157
479,1157
480,1157
481,1157
482,1157
483,1157
484,1157
485,1157
486,1157
487,1157
488,1157
489,1157
490,1157
491,1157
492,1157
493,1157
494,1157
495,1157
496,1157
497,1157
498,1155
499,1155
500,1155
501,1155
502,1155
503,1155
504,1155
505,1155
506,1155
507,1155
508,1155
509,1155
510,1155
511,1155
512,1155
513,1152
514,1152
515,1152
516,1152
517,1152
518,1152
519,1152
520,1152
521,1152
522,1152
523,1152
524,1152
525,1152
526,1152
527,1152
528,1152
529,1152
530,1152
531,1152
532,1152
533,1152
534,1152
535,1152
536,1152
537,1152
538,1152
539,1152
540,1152
541,1152
542,1152
543,1150
544,1150
545,1150
546,1150
547,1150
548,1150
549,1150
550,1150
551,1150
552,1150
553,1150
554,1150
555,1150
556,1150
557,1150
558,1150
559,1150
560,1150
561,1150
562,1150
563,1150
564,1150
565,1150
566,1150
567,1150
568,1150
569,1150
570,1150
571,1150
572,1150
573,1150
574,1150
575,1150
576,1150
577,1150
578,1150
579,1150
580,1150
581,1150
582,1150
583,1150
584,1150
585,1150
586,1150
587,1150
588,1150
589,1150
590,1150
591,1150
592,1150
593,1150
594,1150
595,1150
596,1150
597,1150
598,1150
599,1150
600,1150
601,1150
602,1150
603,1150
604,1150
605,1150
606,1150
607,1150
608,1150
609,1150
610,1150
611,1150
612,1150
613,1150
614,1150
615,1150
616,1150
617,1150
618,1150
619,1150
620,1150
621,1150
622,1150
623,1150
624,1150
625,1150
626,1150
627,1150
628,1150
629,1150
630,1150
631,1150
632,1150
633,1150
634,1150
635,1150
636,1150
637,1150
638,1150
639,1150
640,1150
641,1150
642,1150
643,1150
644,1150
645,1150
646,1150
647,1150
648,1150
649,1150
650,1150
651,1150
652,1150
653,1150
654,1150
655,1150
656,1150
657,1150
658,1150
659,1150
660,1150
661,1150
662,1150
663,1150
664,1150
665,1150
666,1150
667,1150
668,1150
669,1150
670,1150
671,1150
672,1150
673,1150
674,1150
675,1150
676,1150
677,1150
678,1150
679,1150
680,1150
681,1150
682,1150
683,1150
684,1150
685,1146
686,1146
687,1146
688,1146
689,1146
690,1146
691,1146
692,1146
693,1146
694,1146
695,1146
696,1146
697,1146
698,1146
699,1146
700,1146
701,1146
702,1146
703,1146
704,1146
705,1146
706,1146
707,1146
708,1146
709,1146
710,1146
711,1146
712,1146
713,1146
714,1146
715,1146
716,1146
717,1146
718,1146
719,1146
720,1146
721,1146
722,1146
723,1146
724,1146
725,1146
726,1146
727,1146
728,1146
729,1146
