Iteration,TotalBusyTime
0,2044121
1,2032156
2,2032156
3,2020194
4,2020194
5,2007742
6,2007742
7,2007674
8,1995775
9,1983906
10,1983906
11,1983906
12,1983903
13,1983197
14,1983197
15,1983197
16,1970354
17,1958239
18,1958239
19,1957954
20,1957940
21,1957930
22,1957915
23,1957915
24,1945950
25,1945950
26,1945950
27,1945950
28,1945948
29,1933983
30,1933919
31,1921949
32,1921949
33,1921949
34,1920765
35,1908882
36,1908882
37,1908880
38,1890505
39,1890420
40,1890364
41,1878049
42,1878029
43,1866064
44,1854099
45,1854085
46,1854038
47,1854017
48,1854017
49,1841426
50,1829465
51,1829329
52,1829329
53,1829329
54,1829329
55,1816869
56,1816868
57,1816868
58,1816868
59,1816868
60,1816868
61,1816612
62,1816612
63,1816612
64,1816589
65,1816438
66,1796974
67,1796974
68,1796974
69,1796974
70,1796974
71,1796974
72,1784483
73,1784442
74,1784259
75,1784259
76,1783075
77,1783009
78,1782835
79,1782835
80,1782835
81,1782324
82,1782324
83,1782292
84,1782049
85,1781500
86,1781398
87,1781226
88,1780913
89,1780571
90,1780571
91,1780571
92,1780571
93,1780571
94,1761714
95,1761673
96,1761673
97,1761672
98,1761672
99,1761672
100,1761628
101,1761628
102,1761576
103,1761576
104,1761540
105,1761540
106,1761146
107,1761146
108,1761146
109,1760835
110,1760835
111,1760835
112,1760835
113,1760807
114,1760807
115,1742639
116,1742639
117,1742639
118,1742639
119,1742639
120,1742639
121,1742639
122,1742639
123,1742639
124,1742601
125,1742601
126,1742115
127,1742115
128,1742115
129,1742115
130,1742115
131,1742115
132,1742115
133,1742115
134,1742115
135,1742054
136,1742054
137,1742054
138,1742054
139,1742054
140,1742054
141,1742054
142,1741813
143,1741813
144,1741746
145,1741746
146,1741746
147,1741746
148,1741746
149,1741746
150,1741746
151,1741746
152,1729865
153,1729855
154,1729855
155,1729855
156,1729855
157,1729855
158,1729855
159,1729855
160,1729855
161,1729855
162,1729855
163,1729690
164,1729606
165,1729606
166,1729606
167,1729606
168,1729606
169,1729583
170,1729583
171,1729583
172,1729468
173,1729450
174,1729450
175,1729405
176,1729378
177,1729378
178,1729358
179,1729148
180,1729148
181,1729148
182,1729148
183,1729148
184,1729148
185,1729148
186,1729148
187,1729148
188,1729148
189,1729148
190,1729148
191,1728952
192,1728952
193,1728952
194,1728929
195,1728920
196,1728920
197,1728920
198,1728920
199,1728816
200,1716644
201,1716631
202,1716631
203,1716147
204,1715796
0,2044121
1,2032156
2,2032156
3,2020194
4,2020194
5,2007742
6,2007742
7,2007674
8,1995775
9,1983906
10,1983906
11,1983906
12,1983903
13,1983197
14,1983197
15,1983197
16,1970354
17,1958239
18,1958239
19,1957954
20,1957940
21,1957930
22,1957915
23,1957915
24,1945950
25,1945950
26,1945950
27,1945950
28,1945948
29,1933983
30,1933919
31,1921949
32,1921949
33,1921949
34,1920765
35,1908882
36,1908882
37,1908880
38,1890505
39,1890420
40,1890364
41,1878049
42,1878029
43,1866064
44,1854099
45,1854085
46,1854038
47,1854017
48,1854017
49,1841426
50,1829465
51,1829329
52,1829329
53,1829329
54,1829329
55,1816869
56,1816868
57,1816868
58,1816868
59,1816868
60,1816868
61,1816612
62,1816612
63,1816612
64,1816589
65,1816438
66,1796974
67,1796974
68,1796974
69,1796974
70,1796974
71,1796974
72,1784483
73,1784442
74,1784259
75,1784259
76,1783075
77,1783009
78,1782835
79,1782835
80,1782835
81,1782324
82,1782324
83,1782292
84,1782049
85,1781500
86,1781398
87,1781226
88,1780913
89,1780571
90,1780571
91,1780571
92,1780571
93,1780571
94,1761714
95,1761673
96,1761673
97,1761672
98,1761672
99,1761672
100,1761628
101,1761628
102,1761576
103,1761576
104,1761540
105,1761540
106,1761146
107,1761146
108,1761146
109,1760835
110,1760835
111,1760835
112,1760835
113,1760807
114,1760807
115,1742639
116,1742639
117,1742639
118,1742639
119,1742639
120,1742639
121,1742639
122,1742639
123,1742639
124,1742601
125,1742601
126,1742115
127,1742115
128,1742115
129,1742115
130,1742115
131,1742115
132,1742115
133,1742115
134,1742115
135,1742054
136,1742054
137,1742054
138,1742054
139,1742054
140,1742054
141,1742054
142,1741813
143,1741813
144,1741746
145,1741746
146,1741746
147,1741746
148,1741746
149,1741746
150,1741746
151,1741746
152,1729865
153,1729855
154,1729855
155,1729855
156,1729855
157,1729855
158,1729855
159,1729855
160,1729855
161,1729855
162,1729855
163,1729690
164,1729606
165,1729606
166,1729606
167,1729606
168,1729606
169,1729583
170,1729583
171,1729583
172,1729468
173,1729450
174,1729450
175,1729405
176,1729378
177,1729378
178,1729358
179,1729148
180,1729148
181,1729148
182,1729148
183,1729148
184,1729148
185,1729148
186,1729148
187,1729148
188,1729148
189,1729148
190,1729148
191,1728952
192,1728952
193,1728952
194,1728929
195,1728920
196,1728920
197,1728920
198,1728920
199,1728816
200,1716644
201,1716631
202,1716631
203,1716147
204,1715796
0,2044121
1,2032156
2,2032156
3,2020194
4,2020194
5,2007742
6,2007742
7,2007674
8,1995775
9,1983906
10,1983906
11,1983906
12,1983903
13,1983197
14,1983197
15,1983197
16,1970354
17,1958239
18,1958239
19,1957954
20,1957940
21,1957930
22,1957915
23,1957915
24,1945950
25,1945950
26,1945950
27,1945950
28,1945948
29,1933983
